latitude,longitude,month,temp700mbCelsius,meanGeopotentialHeightMeters
85,190,1,-27.382903,2720
85,192.5,1,-27.395484,2720
85,195,1,-27.413226,2720
85,197.5,1,-27.433548,2719
85,200,1,-27.454516,2719
85,202.5,1,-27.476452,2718
85,205,1,-27.501935,2717
85,207.5,1,-27.52871,2717
85,210,1,-27.556129,2716
85,212.5,1,-27.583871,2715
85,215,1,-27.613226,2714
85,217.5,1,-27.641613,2713
85,220,1,-27.670645,2712
85,222.5,1,-27.698387,2711
85,225,1,-27.724839,2709
85,227.5,1,-27.750968,2708
85,230,1,-27.774839,2707
85,232.5,1,-27.796129,2706
85,235,1,-27.817097,2704
85,237.5,1,-27.833226,2703
85,240,1,-27.847742,2702
85,242.5,1,-27.856452,2700
85,245,1,-27.865484,2699
85,247.5,1,-27.868387,2698
85,250,1,-27.86871,2696
85,252.5,1,-27.863226,2695
85,255,1,-27.853871,2694
85,257.5,1,-27.841613,2692
85,260,1,-27.823871,2691
85,262.5,1,-27.802258,2690
85,265,1,-27.776774,2689
85,267.5,1,-27.746774,2688
85,270,1,-27.713226,2686
85,272.5,1,-27.67871,2685
85,275,1,-27.637097,2684
85,277.5,1,-27.594839,2684
85,280,1,-27.549677,2683
85,282.5,1,-27.502581,2682
85,285,1,-27.455161,2681
85,287.5,1,-27.406129,2681
85,290,1,-27.355484,2680
85,292.5,1,-27.303871,2679
85,295,1,-27.250645,2679
85,297.5,1,-27.199677,2679
85,300,1,-27.149032,2678
85,302.5,1,-27.098387,2678
85,305,1,-27.046774,2678
85,307.5,1,-26.995161,2678
85,310,1,-26.946774,2677
82.5,190,1,-27.007097,2736
82.5,192.5,1,-27.024194,2735
82.5,195,1,-27.048387,2735
82.5,197.5,1,-27.075161,2734
82.5,200,1,-27.109032,2733
82.5,202.5,1,-27.146774,2732
82.5,205,1,-27.188387,2731
82.5,207.5,1,-27.234194,2730
82.5,210,1,-27.281613,2729
82.5,212.5,1,-27.330968,2727
82.5,215,1,-27.383548,2726
82.5,217.5,1,-27.436452,2724
82.5,220,1,-27.488387,2722
82.5,222.5,1,-27.542581,2720
82.5,225,1,-27.596452,2718
82.5,227.5,1,-27.649677,2716
82.5,230,1,-27.700323,2714
82.5,232.5,1,-27.750323,2711
82.5,235,1,-27.798065,2709
82.5,237.5,1,-27.843871,2707
82.5,240,1,-27.882581,2704
82.5,242.5,1,-27.91871,2702
82.5,245,1,-27.949032,2699
82.5,247.5,1,-27.972903,2697
82.5,250,1,-27.98871,2694
82.5,252.5,1,-27.99871,2692
82.5,255,1,-27.999677,2690
82.5,257.5,1,-27.99,2687
82.5,260,1,-27.970645,2685
82.5,262.5,1,-27.942581,2683
82.5,265,1,-27.904516,2681
82.5,267.5,1,-27.857097,2680
82.5,270,1,-27.802258,2678
82.5,272.5,1,-27.738387,2676
82.5,275,1,-27.667742,2675
82.5,277.5,1,-27.593548,2674
82.5,280,1,-27.513226,2673
82.5,282.5,1,-27.433548,2672
82.5,285,1,-27.352581,2671
82.5,287.5,1,-27.27,2671
82.5,290,1,-27.192903,2670
82.5,292.5,1,-27.116774,2670
82.5,295,1,-27.039677,2670
82.5,297.5,1,-26.970323,2670
82.5,300,1,-26.899677,2670
82.5,302.5,1,-26.831613,2671
82.5,305,1,-26.763871,2671
82.5,307.5,1,-26.694516,2671
82.5,310,1,-26.622258,2672
80,190,1,-26.394516,2752
80,192.5,1,-26.407419,2751
80,195,1,-26.42871,2751
80,197.5,1,-26.459677,2750
80,200,1,-26.498065,2749
80,202.5,1,-26.540968,2748
80,205,1,-26.591935,2747
80,207.5,1,-26.647742,2745
80,210,1,-26.706774,2743
80,212.5,1,-26.76871,2741
80,215,1,-26.837097,2739
80,217.5,1,-26.904516,2737
80,220,1,-26.976774,2735
80,222.5,1,-27.052581,2732
80,225,1,-27.129032,2729
80,227.5,1,-27.210323,2726
80,230,1,-27.296774,2723
80,232.5,1,-27.38129,2719
80,235,1,-27.467742,2716
80,237.5,1,-27.558065,2712
80,240,1,-27.645806,2708
80,242.5,1,-27.730968,2705
80,245,1,-27.812258,2701
80,247.5,1,-27.885806,2697
80,250,1,-27.950645,2693
80,252.5,1,-28.006452,2689
80,255,1,-28.046774,2686
80,257.5,1,-28.072581,2682
80,260,1,-28.081613,2679
80,262.5,1,-28.070645,2676
80,265,1,-28.042258,2673
80,267.5,1,-27.994516,2671
80,270,1,-27.927419,2668
80,272.5,1,-27.842581,2666
80,275,1,-27.744839,2665
80,277.5,1,-27.638387,2663
80,280,1,-27.523548,2662
80,282.5,1,-27.405484,2662
80,285,1,-27.294194,2661
80,287.5,1,-27.192903,2661
80,290,1,-27.103871,2662
80,292.5,1,-27.030968,2662
80,295,1,-26.973548,2663
80,297.5,1,-26.936774,2664
80,300,1,-26.914194,2666
80,302.5,1,-26.902581,2668
80,305,1,-26.895806,2669
80,307.5,1,-26.883226,2671
80,310,1,-26.859677,2673
77.5,190,1,-25.579032,2766
77.5,192.5,1,-25.573548,2765
77.5,195,1,-25.579355,2765
77.5,197.5,1,-25.598387,2764
77.5,200,1,-25.626129,2763
77.5,202.5,1,-25.661935,2762
77.5,205,1,-25.709032,2761
77.5,207.5,1,-25.761613,2759
77.5,210,1,-25.819677,2758
77.5,212.5,1,-25.886452,2756
77.5,215,1,-25.960323,2753
77.5,217.5,1,-26.04,2751
77.5,220,1,-26.127097,2748
77.5,222.5,1,-26.223548,2745
77.5,225,1,-26.331613,2742
77.5,227.5,1,-26.447419,2738
77.5,230,1,-26.573548,2734
77.5,232.5,1,-26.70871,2730
77.5,235,1,-26.851613,2725
77.5,237.5,1,-27.000968,2721
77.5,240,1,-27.155161,2716
77.5,242.5,1,-27.309355,2710
77.5,245,1,-27.462581,2705
77.5,247.5,1,-27.61,2700
77.5,250,1,-27.750323,2694
77.5,252.5,1,-27.876452,2689
77.5,255,1,-27.986129,2684
77.5,257.5,1,-28.077419,2679
77.5,260,1,-28.144194,2674
77.5,262.5,1,-28.184839,2670
77.5,265,1,-28.195484,2666
77.5,267.5,1,-28.174839,2662
77.5,270,1,-28.116774,2659
77.5,272.5,1,-28.02871,2657
77.5,275,1,-27.907097,2655
77.5,277.5,1,-27.760968,2654
77.5,280,1,-27.593871,2653
77.5,282.5,1,-27.420968,2652
77.5,285,1,-27.249355,2652
77.5,287.5,1,-27.091613,2653
77.5,290,1,-26.965806,2654
77.5,292.5,1,-26.881935,2656
77.5,295,1,-26.847097,2658
77.5,297.5,1,-26.869355,2661
77.5,300,1,-26.940323,2665
77.5,302.5,1,-27.058387,2668
77.5,305,1,-27.202903,2673
77.5,307.5,1,-27.357419,2677
77.5,310,1,-27.496129,2681
75,190,1,-24.63129,2775
75,192.5,1,-24.581935,2775
75,195,1,-24.547742,2775
75,197.5,1,-24.527097,2774
75,200,1,-24.52129,2773
75,202.5,1,-24.532581,2773
75,205,1,-24.553548,2772
75,207.5,1,-24.589355,2770
75,210,1,-24.638065,2769
75,212.5,1,-24.700968,2767
75,215,1,-24.777097,2765
75,217.5,1,-24.87,2763
75,220,1,-24.978065,2760
75,222.5,1,-25.107097,2757
75,225,1,-25.256774,2754
75,227.5,1,-25.423871,2751
75,230,1,-25.612581,2747
75,232.5,1,-25.815484,2742
75,235,1,-26.031613,2737
75,237.5,1,-26.258065,2732
75,240,1,-26.491613,2726
75,242.5,1,-26.722258,2720
75,245,1,-26.95129,2713
75,247.5,1,-27.17129,2706
75,250,1,-27.380645,2699
75,252.5,1,-27.575806,2692
75,255,1,-27.750645,2685
75,257.5,1,-27.910323,2678
75,260,1,-28.043548,2672
75,262.5,1,-28.154194,2666
75,265,1,-28.233548,2662
75,267.5,1,-28.276774,2658
75,270,1,-28.27871,2654
75,272.5,1,-28.23,2651
75,275,1,-28.127097,2649
75,277.5,1,-27.969355,2648
75,280,1,-27.760645,2647
75,282.5,1,-27.508387,2646
75,285,1,-27.231613,2647
75,287.5,1,-26.952903,2647
75,290,1,-26.699355,2649
75,292.5,1,-26.501613,2651
75,295,1,-26.383548,2654
75,297.5,1,-26.37,2659
75,300,1,-26.464516,2664
75,302.5,1,-26.665806,2670
75,305,1,-26.953871,2677
75,307.5,1,-27.292903,2684
75,310,1,-27.641935,2692
72.5,190,1,-23.580323,2779
72.5,192.5,1,-23.462903,2779
72.5,195,1,-23.365806,2779
72.5,197.5,1,-23.287742,2778
72.5,200,1,-23.229355,2778
72.5,202.5,1,-23.189032,2778
72.5,205,1,-23.16871,2777
72.5,207.5,1,-23.167419,2777
72.5,210,1,-23.185161,2776
72.5,212.5,1,-23.227097,2775
72.5,215,1,-23.294516,2774
72.5,217.5,1,-23.391613,2773
72.5,220,1,-23.519032,2771
72.5,222.5,1,-23.679677,2769
72.5,225,1,-23.876774,2767
72.5,227.5,1,-24.106774,2763
72.5,230,1,-24.367419,2760
72.5,232.5,1,-24.654194,2756
72.5,235,1,-24.960645,2751
72.5,237.5,1,-25.28,2745
72.5,240,1,-25.605806,2739
72.5,242.5,1,-25.92871,2732
72.5,245,1,-26.238387,2724
72.5,247.5,1,-26.533548,2716
72.5,250,1,-26.806129,2707
72.5,252.5,1,-27.056129,2699
72.5,255,1,-27.282581,2690
72.5,257.5,1,-27.489355,2682
72.5,260,1,-27.677742,2675
72.5,262.5,1,-27.85,2668
72.5,265,1,-28.004839,2662
72.5,267.5,1,-28.140645,2657
72.5,270,1,-28.245161,2654
72.5,272.5,1,-28.303548,2651
72.5,275,1,-28.29871,2649
72.5,277.5,1,-28.213871,2647
72.5,280,1,-28.038387,2646
72.5,282.5,1,-27.764194,2646
72.5,285,1,-27.407097,2645
72.5,287.5,1,-26.986774,2646
72.5,290,1,-26.540323,2647
72.5,292.5,1,-26.114839,2649
72.5,295,1,-25.764839,2652
72.5,297.5,1,-25.533548,2657
72.5,300,1,-25.457419,2663
72.5,302.5,1,-25.548065,2670
72.5,305,1,-25.799355,2679
72.5,307.5,1,-26.171613,2688
72.5,310,1,-26.601935,2698
70,190,1,-22.408065,2778
70,192.5,1,-22.225806,2778
70,195,1,-22.06871,2778
70,197.5,1,-21.932581,2778
70,200,1,-21.817097,2778
70,202.5,1,-21.722581,2779
70,205,1,-21.63871,2780
70,207.5,1,-21.575161,2781
70,210,1,-21.535806,2782
70,212.5,1,-21.523226,2783
70,215,1,-21.549355,2783
70,217.5,1,-21.620968,2783
70,220,1,-21.745484,2783
70,222.5,1,-21.918387,2782
70,225,1,-22.144839,2780
70,227.5,1,-22.422581,2778
70,230,1,-22.742258,2775
70,232.5,1,-23.100968,2771
70,235,1,-23.493548,2766
70,237.5,1,-23.908065,2760
70,240,1,-24.338065,2754
70,242.5,1,-24.774516,2747
70,245,1,-25.203548,2739
70,247.5,1,-25.613226,2730
70,250,1,-25.992903,2721
70,252.5,1,-26.335484,2711
70,255,1,-26.634839,2702
70,257.5,1,-26.899355,2692
70,260,1,-27.13,2683
70,262.5,1,-27.339355,2675
70,265,1,-27.541613,2668
70,267.5,1,-27.738065,2662
70,270,1,-27.929355,2658
70,272.5,1,-28.102258,2654
70,275,1,-28.231613,2652
70,277.5,1,-28.292258,2650
70,280,1,-28.247419,2649
70,282.5,1,-28.071935,2648
70,285,1,-27.752581,2648
70,287.5,1,-27.294516,2648
70,290,1,-26.725806,2648
70,292.5,1,-26.099677,2649
70,295,1,-25.479677,2651
70,297.5,1,-24.936774,2655
70,300,1,-24.534839,2661
70,302.5,1,-24.316129,2668
70,305,1,-24.289355,2677
70,307.5,1,-24.433226,2687
70,310,1,-24.691935,2698
67.5,190,1,-21.139032,2774
67.5,192.5,1,-20.916452,2773
67.5,195,1,-20.724194,2773
67.5,197.5,1,-20.557097,2775
67.5,200,1,-20.39871,2777
67.5,202.5,1,-20.24871,2779
67.5,205,1,-20.093548,2782
67.5,207.5,1,-19.942903,2785
67.5,210,1,-19.809032,2788
67.5,212.5,1,-19.710645,2791
67.5,215,1,-19.661935,2794
67.5,217.5,1,-19.677419,2796
67.5,220,1,-19.770323,2797
67.5,222.5,1,-19.933548,2797
67.5,225,1,-20.165484,2797
67.5,227.5,1,-20.459355,2795
67.5,230,1,-20.805484,2792
67.5,232.5,1,-21.194839,2789
67.5,235,1,-21.632258,2784
67.5,237.5,1,-22.11129,2778
67.5,240,1,-22.62871,2772
67.5,242.5,1,-23.180645,2765
67.5,245,1,-23.755161,2757
67.5,247.5,1,-24.330645,2748
67.5,250,1,-24.88871,2739
67.5,252.5,1,-25.403871,2729
67.5,255,1,-25.856774,2719
67.5,257.5,1,-26.240323,2709
67.5,260,1,-26.55129,2699
67.5,262.5,1,-26.802903,2689
67.5,265,1,-27.009677,2680
67.5,267.5,1,-27.199032,2672
67.5,270,1,-27.384516,2665
67.5,272.5,1,-27.574839,2660
67.5,275,1,-27.762258,2656
67.5,277.5,1,-27.923548,2654
67.5,280,1,-28.015161,2652
67.5,282.5,1,-28.003226,2651
67.5,285,1,-27.840968,2651
67.5,287.5,1,-27.51129,2650
67.5,290,1,-27.012581,2650
67.5,292.5,1,-26.373226,2651
67.5,295,1,-25.647097,2653
67.5,297.5,1,-24.908065,2656
67.5,300,1,-24.229032,2661
67.5,302.5,1,-23.667419,2667
67.5,305,1,-23.262581,2675
67.5,307.5,1,-23.010645,2684
67.5,310,1,-22.879677,2694
65,190,1,-19.890323,2767
65,192.5,1,-19.643548,2767
65,195,1,-19.434839,2768
65,197.5,1,-19.249032,2771
65,200,1,-19.057097,2774
65,202.5,1,-18.846452,2778
65,205,1,-18.611613,2783
65,207.5,1,-18.360645,2788
65,210,1,-18.12,2793
65,212.5,1,-17.914194,2798
65,215,1,-17.780645,2803
65,217.5,1,-17.737742,2807
65,220,1,-17.793226,2811
65,222.5,1,-17.945484,2814
65,225,1,-18.175484,2815
65,227.5,1,-18.467419,2815
65,230,1,-18.807742,2813
65,232.5,1,-19.187097,2811
65,235,1,-19.609355,2806
65,237.5,1,-20.086129,2801
65,240,1,-20.629355,2794
65,242.5,1,-21.245161,2787
65,245,1,-21.926774,2778
65,247.5,1,-22.657097,2770
65,250,1,-23.406452,2760
65,252.5,1,-24.132903,2750
65,255,1,-24.800323,2740
65,257.5,1,-25.369677,2729
65,260,1,-25.83,2718
65,262.5,1,-26.172581,2707
65,265,1,-26.415161,2696
65,267.5,1,-26.583548,2686
65,270,1,-26.713226,2677
65,272.5,1,-26.83,2669
65,275,1,-26.957097,2663
65,277.5,1,-27.094516,2659
65,280,1,-27.223871,2656
65,282.5,1,-27.308065,2655
65,285,1,-27.303871,2654
65,287.5,1,-27.164194,2654
65,290,1,-26.861613,2655
65,292.5,1,-26.393548,2656
65,295,1,-25.778387,2658
65,297.5,1,-25.067097,2660
65,300,1,-24.315806,2664
65,302.5,1,-23.580645,2670
65,305,1,-22.904839,2676
65,307.5,1,-22.306452,2684
65,310,1,-21.774516,2692
62.5,190,1,-18.797097,2761
62.5,192.5,1,-18.510645,2762
62.5,195,1,-18.269677,2764
62.5,197.5,1,-18.039677,2767
62.5,200,1,-17.797097,2772
62.5,202.5,1,-17.514194,2776
62.5,205,1,-17.193871,2782
62.5,207.5,1,-16.848387,2788
62.5,210,1,-16.513226,2795
62.5,212.5,1,-16.226452,2802
62.5,215,1,-16.029032,2809
62.5,217.5,1,-15.944516,2815
62.5,220,1,-15.979677,2822
62.5,222.5,1,-16.122258,2827
62.5,225,1,-16.347419,2831
62.5,227.5,1,-16.625806,2834
62.5,230,1,-16.939677,2836
62.5,232.5,1,-17.277419,2835
62.5,235,1,-17.650968,2832
62.5,237.5,1,-18.077097,2827
62.5,240,1,-18.585161,2821
62.5,242.5,1,-19.190645,2813
62.5,245,1,-19.902258,2804
62.5,247.5,1,-20.703226,2795
62.5,250,1,-21.562581,2785
62.5,252.5,1,-22.435161,2774
62.5,255,1,-23.267742,2764
62.5,257.5,1,-24.019032,2752
62.5,260,1,-24.655806,2740
62.5,262.5,1,-25.160645,2728
62.5,265,1,-25.528065,2715
62.5,267.5,1,-25.780323,2703
62.5,270,1,-25.938387,2692
62.5,272.5,1,-26.036774,2682
62.5,275,1,-26.106774,2675
62.5,277.5,1,-26.174839,2669
62.5,280,1,-26.249032,2665
62.5,282.5,1,-26.318387,2663
62.5,285,1,-26.350645,2662
62.5,287.5,1,-26.305161,2662
62.5,290,1,-26.144516,2663
62.5,292.5,1,-25.843226,2664
62.5,295,1,-25.392903,2666
62.5,297.5,1,-24.816452,2669
62.5,300,1,-24.144516,2672
62.5,302.5,1,-23.418387,2676
62.5,305,1,-22.666452,2681
62.5,307.5,1,-21.907419,2687
62.5,310,1,-21.146774,2694
60,190,1,-17.896129,2757
60,192.5,1,-17.546129,2758
60,195,1,-17.225161,2761
60,197.5,1,-16.913871,2765
60,200,1,-16.581935,2770
60,202.5,1,-16.216452,2775
60,205,1,-15.820968,2780
60,207.5,1,-15.411935,2787
60,210,1,-15.027097,2794
60,212.5,1,-14.704194,2802
60,215,1,-14.474194,2810
60,217.5,1,-14.363548,2819
60,220,1,-14.369032,2829
60,222.5,1,-14.479032,2837
60,225,1,-14.669032,2845
60,227.5,1,-14.906452,2852
60,230,1,-15.177097,2856
60,232.5,1,-15.469032,2859
60,235,1,-15.792258,2859
60,237.5,1,-16.16871,2856
60,240,1,-16.631613,2851
60,242.5,1,-17.202903,2843
60,245,1,-17.891613,2834
60,247.5,1,-18.687742,2824
60,250,1,-19.556774,2813
60,252.5,1,-20.457419,2801
60,255,1,-21.347097,2789
60,257.5,1,-22.187419,2777
60,260,1,-22.947097,2764
60,262.5,1,-23.611935,2751
60,265,1,-24.171613,2738
60,267.5,1,-24.619032,2725
60,270,1,-24.954839,2713
60,272.5,1,-25.192903,2702
60,275,1,-25.347097,2693
60,277.5,1,-25.442581,2686
60,280,1,-25.498387,2682
60,282.5,1,-25.524194,2679
60,285,1,-25.509677,2678
60,287.5,1,-25.42871,2678
60,290,1,-25.256129,2678
60,292.5,1,-24.964839,2679
60,295,1,-24.553548,2680
60,297.5,1,-24.029032,2681
60,300,1,-23.417742,2683
60,302.5,1,-22.744516,2686
60,305,1,-22.027419,2691
60,307.5,1,-21.27129,2696
60,310,1,-20.474194,2701
57.5,190,1,-17.08871,2754
57.5,192.5,1,-16.676774,2757
57.5,195,1,-16.268387,2761
57.5,197.5,1,-15.850323,2765
57.5,200,1,-15.419355,2769
57.5,202.5,1,-14.973871,2775
57.5,205,1,-14.525161,2780
57.5,207.5,1,-14.094839,2787
57.5,210,1,-13.705484,2795
57.5,212.5,1,-13.376452,2804
57.5,215,1,-13.129677,2814
57.5,217.5,1,-12.974516,2825
57.5,220,1,-12.913226,2836
57.5,222.5,1,-12.940645,2848
57.5,225,1,-13.046774,2858
57.5,227.5,1,-13.213871,2868
57.5,230,1,-13.43,2876
57.5,232.5,1,-13.685484,2882
57.5,235,1,-13.98129,2885
57.5,237.5,1,-14.335161,2884
57.5,240,1,-14.770968,2881
57.5,242.5,1,-15.313871,2874
57.5,245,1,-15.974839,2866
57.5,247.5,1,-16.742903,2855
57.5,250,1,-17.589355,2844
57.5,252.5,1,-18.47129,2831
57.5,255,1,-19.349032,2818
57.5,257.5,1,-20.192581,2805
57.5,260,1,-20.989355,2791
57.5,262.5,1,-21.742581,2777
57.5,265,1,-22.44129,2763
57.5,267.5,1,-23.077419,2750
57.5,270,1,-23.62871,2738
57.5,272.5,1,-24.081613,2727
57.5,275,1,-24.423226,2718
57.5,277.5,1,-24.657742,2711
57.5,280,1,-24.799677,2706
57.5,282.5,1,-24.858387,2703
57.5,285,1,-24.833226,2701
57.5,287.5,1,-24.709355,2700
57.5,290,1,-24.467419,2699
57.5,292.5,1,-24.095484,2698
57.5,295,1,-23.602581,2698
57.5,297.5,1,-23.016129,2698
57.5,300,1,-22.369032,2698
57.5,302.5,1,-21.693548,2700
57.5,305,1,-21.000323,2704
57.5,307.5,1,-20.284839,2709
57.5,310,1,-19.534194,2715
55,190,1,-16.216774,2755
55,192.5,1,-15.780323,2759
55,195,1,-15.317419,2764
55,197.5,1,-14.827419,2769
55,200,1,-14.328387,2774
55,202.5,1,-13.836129,2780
55,205,1,-13.366452,2787
55,207.5,1,-12.935161,2795
55,210,1,-12.545484,2804
55,212.5,1,-12.209032,2814
55,215,1,-11.920323,2825
55,217.5,1,-11.686452,2837
55,220,1,-11.519355,2849
55,222.5,1,-11.431935,2862
55,225,1,-11.431935,2874
55,227.5,1,-11.526452,2885
55,230,1,-11.706774,2896
55,232.5,1,-11.949677,2904
55,235,1,-12.239677,2909
55,237.5,1,-12.573548,2911
55,240,1,-12.969677,2910
55,242.5,1,-13.453226,2905
55,245,1,-14.055806,2897
55,247.5,1,-14.781613,2887
55,250,1,-15.612903,2875
55,252.5,1,-16.501935,2863
55,255,1,-17.393871,2849
55,257.5,1,-18.255484,2835
55,260,1,-19.071935,2820
55,262.5,1,-19.847742,2806
55,265,1,-20.58871,2792
55,267.5,1,-21.294516,2779
55,270,1,-21.948387,2768
55,272.5,1,-22.521935,2757
55,275,1,-22.991935,2748
55,277.5,1,-23.354194,2740
55,280,1,-23.613226,2735
55,282.5,1,-23.77,2731
55,285,1,-23.820968,2728
55,287.5,1,-23.74129,2726
55,290,1,-23.506129,2724
55,292.5,1,-23.10871,2722
55,295,1,-22.562903,2720
55,297.5,1,-21.913871,2719
55,300,1,-21.215806,2718
55,302.5,1,-20.503226,2720
55,305,1,-19.795806,2723
55,307.5,1,-19.088387,2728
55,310,1,-18.357419,2735
52.5,190,1,-15.184516,2761
52.5,192.5,1,-14.756774,2766
52.5,195,1,-14.286129,2772
52.5,197.5,1,-13.784839,2778
52.5,200,1,-13.273871,2785
52.5,202.5,1,-12.774194,2793
52.5,205,1,-12.304516,2801
52.5,207.5,1,-11.866774,2811
52.5,210,1,-11.46,2821
52.5,212.5,1,-11.084839,2832
52.5,215,1,-10.730645,2844
52.5,217.5,1,-10.407742,2857
52.5,220,1,-10.134516,2869
52.5,222.5,1,-9.937742,2881
52.5,225,1,-9.849677,2894
52.5,227.5,1,-9.893548,2905
52.5,230,1,-10.06129,2916
52.5,232.5,1,-10.321935,2926
52.5,235,1,-10.624839,2933
52.5,237.5,1,-10.936774,2937
