"id","staticid","updatetime","totime","siteid","description","linkurl"
1,1,2013-03-06 19:51:32.785+00,,1,"Seward Highway @ Portage Glacier Road","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=2&perspectiveId=2&siteId=0"
2,2,2013-03-06 19:51:32.786+00,,2,"Seward Highway @ Bird Point MP 96.3","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=2&perspectiveId=2&siteId=1"
3,3,2013-03-06 19:51:32.786+00,,3,"Seward Highway @ Huffman Road","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=2&perspectiveId=2&siteId=2"
4,4,2013-03-06 19:51:32.786+00,,4,"Glenn Highway @ Eagle River Bridge MP 12.8","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=3&perspectiveId=2&siteId=3"
5,5,2013-03-06 19:51:32.786+00,,5,"Hillside Road @ Upper Huffman Road","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=2&perspectiveId=2&siteId=4"
6,6,2013-03-06 19:51:32.787+00,,6,"Seward Highway @ McHugh Creek MP 111.8","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=2&perspectiveId=2&siteId=5"
7,7,2013-03-06 19:51:32.787+00,,7,"Glenn Highway @ S Curves 9.9","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=1&perspectiveId=2&siteId=6"
8,8,2013-03-06 19:51:32.787+00,,8,"Glenn Highway @ 2nd Knik River Bridge MP 31.1","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=1&perspectiveId=2&siteId=7"
9,9,2013-03-06 19:51:32.787+00,,9,"Parks Highway @ Hawk Lane MP 53.2","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=1&perspectiveId=2&siteId=8"
10,10,2013-03-06 19:51:32.787+00,,10,"Parks Highway @ Talkeetna Road MP 98.7","http://www.dot.state.ak.us/iways/roadweather/forms/CameraViews.html?areaId=1&perspectiveId=2&siteId=9"
