"obstypeid","obstype","valuelabel","value"
593,"essCloudSituation","overcast",1
593,"essCloudSituation","cloudy",2
593,"essCloudSituation","partlyCloudy",3
593,"essCloudSituation","mostlyClear",4
593,"essCloudSituation","clear",5
5122,"essMobileObservationGroundState","other",1
5122,"essMobileObservationGroundState","dry",2
5122,"essMobileObservationGroundState","moist",3
5122,"essMobileObservationGroundState","wet",4
5122,"essMobileObservationGroundState","flooded",5
5122,"essMobileObservationGroundState","frozen",6
5122,"essMobileObservationGroundState","glaze",7
5122,"essMobileObservationGroundState","dustySandy",8
5122,"essMobileObservationGroundState","veryDry",9
5122,"essMobileObservationGroundState","icy",10
5122,"essMobileObservationGroundState","patchyWetSnow",11
5122,"essMobileObservationGroundState","moderateWetSnowCover",12
5122,"essMobileObservationGroundState","fullWetSnowCover",13
5122,"essMobileObservationGroundState","patchyDrySnow",14
5122,"essMobileObservationGroundState","moderateDrySnowCover",15
5122,"essMobileObservationGroundState","fullDrySnowCover",16
5122,"essMobileObservationGroundState","driftingSnow",17
5122,"essMobileObservationGroundState","unknown",18
5123,"essMobileObservationPavement","other",1
5123,"essMobileObservationPavement","dry",2
5123,"essMobileObservationPavement","wet",3
5123,"essMobileObservationPavement","puddles",4
5123,"essMobileObservationPavement","shallowStandingWater",5
5123,"essMobileObservationPavement","shallowFlowingWater",6
5123,"essMobileObservationPavement","deepStandingWater",7
5123,"essMobileObservationPavement","deepFlowingWater",8
5123,"essMobileObservationPavement","dustingFreshSnow",9
5123,"essMobileObservationPavement","moderateFreshSnow",10
5123,"essMobileObservationPavement","deepFreshSnow",11
5123,"essMobileObservationPavement","plowedSnow",12
5123,"essMobileObservationPavement","slush",13
5123,"essMobileObservationPavement","packedSnowPatches",14
5123,"essMobileObservationPavement","packedSnow",15
5123,"essMobileObservationPavement","lightSnowDrifts",16
5123,"essMobileObservationPavement","moderateSnowDrifts",17
5123,"essMobileObservationPavement","heavySnowDrifts",18
5123,"essMobileObservationPavement","frost",19
5123,"essMobileObservationPavement","icePatches",20
5123,"essMobileObservationPavement","moderatelyIcy",21
5123,"essMobileObservationPavement","heavyIcing",22
5123,"essMobileObservationPavement","blackIce",23
5123,"essMobileObservationPavement","sheetIce",24
5123,"essMobileObservationPavement","frozenSlush",25
511315,"essPavementSensorError","error",1
511315,"essPavementSensorError","other",1
511315,"essPavementSensorError","none",2
511315,"essPavementSensorError","in order",2
511315,"essPavementSensorError","noResponse",3
511315,"essPavementSensorError","cutCable",4
511315,"essPavementSensorError","shortCircuit",5
511315,"essPavementSensorError","dirtyLens",6
51333,"essPaveTreatProductForm","other",1
51333,"essPaveTreatProductForm","dry",2
51333,"essPaveTreatProductForm","prewet",3
51333,"essPaveTreatProductForm","liquid",4
51332,"essPaveTreatProductType","other",1
51332,"essPaveTreatProductType","sand",2
51332,"essPaveTreatProductType","dirt",3
51332,"essPaveTreatProductType","gravel",4
51332,"essPaveTreatProductType","cinders",5
51332,"essPaveTreatProductType","water",6
51332,"essPaveTreatProductType","enhancedSalts",7
51332,"essPaveTreatProductType","naCl",8
51332,"essPaveTreatProductType","caCl",9
51332,"essPaveTreatProductType","mgCl",10
51332,"essPaveTreatProductType","cMA",11
51332,"essPaveTreatProductType","kAC",12
51332,"essPaveTreatProductType","naFormate",13
51332,"essPaveTreatProductType","naA",14
589,"essPrecipSituation","other",1
589,"essPrecipSituation","unknown",2
589,"essPrecipSituation","noPrecipitation",3
589,"essPrecipSituation","unidentifiedSlight",4
589,"essPrecipSituation","unidentifiedModerate",5
589,"essPrecipSituation","unidentifiedHeavy",6
589,"essPrecipSituation","snowSlight",7
589,"essPrecipSituation","snowModerate",8
589,"essPrecipSituation","snowHeavy",9
589,"essPrecipSituation","rainSlight",10
589,"essPrecipSituation","rainModerate",11
589,"essPrecipSituation","rainHeavy",12
589,"essPrecipSituation","frozenPrecipitationSlight",13
589,"essPrecipSituation","frozenPrecipitationModerate",14
589,"essPrecipSituation","frozenPrecipitationHeavy",15
586,"essPrecipYesNo","precip",1
586,"essPrecipYesNo","yes",1
586,"essPrecipYesNo","noPrecip",2
586,"essPrecipYesNo","no",2
586,"essPrecipYesNo","error",3
51167,"essSubSurfaceSensorError","other",1
51167,"essSubSurfaceSensorError","none",2
51167,"essSubSurfaceSensorError","noResponse",3
51167,"essSubSurfaceSensorError","cutCable",4
51167,"essSubSurfaceSensorError","shortCircuit",5
511314,"essSurfaceBlackIceSignal","other",1
511314,"essSurfaceBlackIceSignal","noIce",2
511314,"essSurfaceBlackIceSignal","blackIce",3
