"id","staticid","updatetime","totime","name","location"
1,1,2013-03-06 19:51:15.997+00,,"Alaska Dept. of Transportation & Public Facilities","Juneau, AK"
2,2,2013-03-06 19:51:16+00,,"Minnesota Department of Transportation","St. Paul, MN"
3,3,2013-03-06 19:51:16+00,,"Utah Department of Transportation","Salt Lake City, UT"
4,4,2013-03-06 19:51:16.001+00,,"Oklahoma Climatological Survey","Norman, OK"
5,5,2013-03-06 19:51:16.002+00,,"National Weather Service","Silver Spring, MD"
6,6,2013-03-06 19:51:16.002+00,,"Oklahoma Mesonet","University of Oklahoma & Oklahoma State University"
7,7,2013-03-06 19:51:16.003+00,,"National Climatic Data Center","Asheville, NC"
8,8,2013-03-06 19:51:16.003+00,,"Alabama Department of Transportation","Montgomery, AL"
9,9,2013-03-06 19:51:16.004+00,,"Arizona Department of Transportation",
10,10,2013-03-06 19:51:16.005+00,,"Arkansas Highway and Transportation Department","Little Rock, AR"
11,11,2013-03-06 19:51:16.005+00,,"California Department of Transportation","Sacramento, CA"
12,12,2013-03-06 19:51:16.006+00,,"Colorado Department of Transportation","Denver, CO"
13,13,2013-03-06 19:51:16.006+00,,"Connecticut Department of Transportation","Newington, CT"
14,14,2013-03-06 19:51:16.007+00,,"Delaware Department of Transportation","Dover, DE"
15,15,2013-03-06 19:51:16.007+00,,"Florida Department of Transportation","Tallahassee, FL"
16,16,2013-03-06 19:51:16.008+00,,"Georgia Department of Transportation","Atlanta, GA"
17,17,2013-03-06 19:51:16.009+00,,"Hawaii Department of Transportation","Honolulu, HI"
18,18,2013-03-06 19:51:16.009+00,,"Idaho Transportation Department","Boise, ID"
19,19,2013-03-06 19:51:16.01+00,,"Illinois Department of Transportation","Springfield, IL"
20,20,2013-03-06 19:51:16.01+00,,"Indiana Department of Transportation","Indianapolis, IN"
21,21,2013-03-06 19:51:16.011+00,,"Iowa Department of Transportation","Ames, IA"
22,22,2013-03-06 19:51:16.012+00,,"Kansas Department of Transportation","Topeka, KS"
23,23,2013-03-06 19:51:16.012+00,,"Kentucky Transportation Cabinet","Frankfort, KY"
24,24,2013-03-06 19:51:16.013+00,,"Louisiana Department of Transportation & Development","Baton Rouge, LA"
25,25,2013-03-06 19:51:16.014+00,,"Maine Department of Transportation","Augusta, ME"
26,26,2013-03-06 19:51:16.015+00,,"Maryland Department of Transportation","Hanover, MD"
27,27,2013-03-06 19:51:16.015+00,,"Massachusetts Executive Office of Transportation","Boston, MA"
28,28,2013-03-06 19:51:16.016+00,,"Michigan Department of Transportation","Lansing, MI"
29,29,2013-03-06 19:51:16.016+00,,"Mississippi Department of Transportation","Jackson, MS"
30,30,2013-03-06 19:51:16.017+00,,"Missouri Department of Transportation","Jefferson City, MO"
31,31,2013-03-06 19:51:16.018+00,,"Montana Department of Transportation","Helena, MT"
32,32,2013-03-06 19:51:16.018+00,,"Nebraska Department of Roads","Lincoln, NE"
33,33,2013-03-06 19:51:16.019+00,,"Nevada Department of Transportation","Carson City, NV"
34,34,2013-03-06 19:51:16.02+00,,"New Hampshire Department of Transportation","Concord, NH"
35,35,2013-03-06 19:51:16.02+00,,"New Jersey Department of Transportation","Trenton, NJ"
36,36,2013-03-06 19:51:16.021+00,,"New Mexico Highway and Transportation Department","Santa Fe, NM"
37,37,2013-03-06 19:51:16.022+00,,"New York State Department of Transportation","Albany, NY"
38,38,2013-03-06 19:51:16.022+00,,"North Carolina Department of Transportation","Raleigh NC"
39,39,2013-03-06 19:51:16.023+00,,"North Dakota Department of Transportation","Bismarck, ND"
40,40,2013-03-06 19:51:16.023+00,,"Ohio Department of Transportation","Columbus, OH"
41,41,2013-03-06 19:51:16.024+00,,"Oklahoma Department of Transportation","Oklahoma City, OK"
42,42,2013-03-06 19:51:16.024+00,,"Oregon Department of Transportation","Salem, OR"
43,43,2013-03-06 19:51:16.025+00,,"Pennsylvania Department of Transportation","Harrisburg, PA"
44,44,2013-03-06 19:51:16.025+00,,"Rhode Island Department of Transportation","Providence, RI"
45,45,2013-03-06 19:51:16.026+00,,"South Carolina Department of Transportation","Columbia, SC"
46,46,2013-03-06 19:51:16.026+00,,"South Dakota Department of Transportation","Pierre, SD"
47,47,2013-03-06 19:51:16.027+00,,"Tennessee Department of Transportation","Nashville, TN"
48,48,2013-03-06 19:51:16.028+00,,"Texas Department of Transportation","Austin, TX"
49,49,2013-03-06 19:51:16.028+00,,"Vermont Agency of Transportation","Montpelier, VT"
50,50,2013-03-06 19:51:16.029+00,,"Virginia Department of Transportation","Richmond, VA"
51,51,2013-03-06 19:51:16.029+00,,"Washington Department of Transportation","Olympia, WA"
52,52,2013-03-06 19:51:16.03+00,,"West Virginia Department of Transportation","Charleston, WV"
53,53,2013-03-06 19:51:16.03+00,,"Wisconsin Department of Transportation","Madison, WI"
54,54,2013-03-06 19:51:16.031+00,,"Wyoming Department of Transportation","Cheyenne, WY"
55,55,2013-03-06 19:51:16.031+00,,"Alberta Ministry of Infrastructure and Transportation","Edmonton, AB Canada"
56,56,2013-03-06 19:51:16.032+00,,"British Columbia Ministry of Transportation","Victoria, BC Canada"
57,57,2013-03-06 19:51:16.032+00,,"Manitoba Ministry of Infrastructure and Transportation","Winnipeg, MB Canada"
58,58,2013-03-06 19:51:16.032+00,,"New Brunswick Department of Transportation","Fredericton, NB Canada"
59,59,2013-03-06 19:51:16.033+00,,"Newfoundland and Labrador Department of Transportation and Works","St. John's, NL Canada"
60,60,2013-03-06 19:51:16.033+00,,"Northwest Territories Department of Transportation","Yellowknife, NT Canada"
61,61,2013-03-06 19:51:16.034+00,,"Nova Scotia Department of Transportation and Public Works","Halifax, NS Canada"
62,62,2013-03-06 19:51:16.034+00,,"Nunavut Department of Economic Development and Transportation","Iqaluit, NU Canada"
63,63,2013-03-06 19:51:16.035+00,,"Ontario Ministry of Transportation","Toronto, ON Canada"
