"id","updatetime","sensortypeid","obstypeid","isdefault","minrange","maxrange","resolution","accuracy","ratepos","rateneg","rateinterval","persistinterval","persistthreshold","likethreshold"
1,2013-03-06 19:51:33.082+00,1,574,t,-50,80,0,0,10.000000000,-10.000000000,0.000000000,14400.000000000,0.000000000,3.000000000
3,2013-03-06 19:51:33.084+00,1,575,t,-50,80,0,1,15.000000000,-15.000000000,0.000000000,21600.000000000,0.000000000,4.000000000
4,2013-03-06 19:51:33.085+00,1,576,t,-50,80,0,1,30.000000000,-30.000000000,0.000000000,259200.000000000,0.000000000,3.000000000
5,2013-03-06 19:51:33.086+00,1,577,t,-50,80,0,1,30.000000000,-30.000000000,0.000000000,259200.000000000,0.000000000,3.000000000
7,2013-03-06 19:51:33.087+00,1,581,t,10,100,0,5,50.000000000,-50.000000000,0.000000000,21600.000000000,0.000000000,10.000000000
9,2013-03-06 19:51:33.088+00,1,5733,t,-50,80,0,1,11.000000000,-14.000000000,0.000000000,14400.000000000,0.000000000,3.000000000
10,2013-03-06 19:51:33.089+00,2,554,t,600,1060,0,3,10.000000000,-10.000000000,0.000000000,14400.000000000,0.000000000,2.000000000
12,2013-03-06 19:51:33.09+00,6,204,t,0,100,0,0,100.000000000,-100.000000000,0.000000000,0.000000000,0.000000000,25.000000000
13,2013-03-06 19:51:33.09+00,6,51137,t,1,14,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
15,2013-03-06 19:51:33.09+00,6,51138,t,-52,80,0,0.200000003,20.000000000,-35.000000000,0.000000000,32400.000000000,0.000000000,10.000000000
16,2013-03-06 19:51:33.091+00,6,51165,t,-52,80,0,0.200000003,5.000000000,-5.000000000,0.000000000,14400.000000000,0.000000000,10.000000000
18,2013-03-06 19:51:33.091+00,6,511313,t,-52,80,0,0.200000003,20.000000000,-35.000000000,0.000000000,32400.000000000,0.000000000,10.000000000
19,2013-03-06 19:51:33.091+00,6,511313,f,-52,80,0,0.200000003,20.000000000,-35.000000000,0.000000000,32400.000000000,0.000000000,10.000000000
20,2013-03-06 19:51:33.092+00,6,511316,t,0,2150000,0,0,50.000000000,-50.000000000,0.000000000,0.000000000,0.000000000,0.500000000
21,2013-03-06 19:51:33.092+00,7,204,t,0,100,0,0,100.000000000,-100.000000000,0.000000000,0.000000000,0.000000000,25.000000000
