"id","staticid","updatetime","totime","statesiteid","contribid","description","roadwaydesc","roadwaymilepost","roadwayoffset","roadwayheight","county","state","country","accessdirections","obstructions","landscape","statesystemid"
2,2,2013-03-06 19:51:16.521+00,,"1",1,"Seward Highway @ Bird Point MP 96.3","State Hwy 1 - Seward Highway",95,0,0,"Anchorage Borough","AK","USA",,,,
4,4,2013-03-06 19:51:16.522+00,,"3",1,"Glenn Highway @ Eagle River Bridge MP 12.8","State Hwy 1 - Glenn Highway",12,0,0,"Anchorage Borough","AK","USA",,,,
5,5,2013-03-06 19:51:16.523+00,,"4",1,"Hillside Road @ Upper Huffman Road","Hillside Road",0,0,0,"Anchorage Borough","AK","USA",,,,
6,6,2013-03-06 19:51:16.523+00,,"5",1,"Seward Highway @ McHugh Creek MP 111.8","State Hwy 1 - Seward Highway",110,0,0,"Anchorage Borough","AK","USA",,,,
7,7,2013-03-06 19:51:16.524+00,,"6",1,"Glenn Highway @ S Curves MP 9.9","State Hwy 1 - Glenn Highway",8,0,0,"Anchorage Borough","AK","USA",,,,
8,8,2013-03-06 19:51:16.525+00,,"7",1,"Glenn Highway @ 2nd Knik River Bridge MP 31.1","State Hwy 1 - Glenn Highway",30,0,0,"Anchorage Borough","AK","USA",,,,
9,9,2013-03-06 19:51:16.525+00,,"8",1,"Parks Highway @ Hawk Lane MP 53.2","State Hwy 3 - Parks Highway",18,0,0,"Matanuska-Susitna Borough","AK","USA",,,,
10,10,2013-03-06 19:51:16.526+00,,"9",1,"Parks Highway @ Talkeetna Road MP 98.3","State Hwy 3 - Parks Highway",63,0,0,"Matanuska-Susitna Borough","AK","USA",,,,
11,11,2013-03-06 19:51:16.541+00,,"10",1,"Sterling Highway @ DOT Soldotna MS  - MP 98","State Hwy 1 - Sterling Highway",57,0,0,"Kenai Peninsula Borough","AK","USA",,,,
12,12,2013-03-06 19:51:16.542+00,,"11",1,"Seward Highway @ Summit Lake Lodge MP 45.8","State Hwy 1 - Seward Highway",45,0,0,"Kenai Peninsula Borough","AK","USA",,,,
13,13,2013-03-06 19:51:16.542+00,,"12",1,"Sterling Highway @ Russian River Ferry MP 54.8","State Hwy 1 - Sterling Highway",18,0,0,"Kenai Peninsula Borough","AK","USA",,,,
14,14,2013-03-06 19:51:16.543+00,,"13",1,"Sterling Highway @ Ninilchik River Bridge MP 135.2","State Hwy 1 - Sterling Highway",97,0,0,"Kenai Peninsula Borough","AK","USA",,,,
15,15,2013-03-06 19:51:16.543+00,,"14",1,"Glacier Highway/Egan Drive @ MP 3","State Hwy 7 - Glacier Hiwy/Egan Dr",2,0,0,"Juneau City & Borough","AK","USA",,,,
16,16,2013-03-06 19:51:16.544+00,,"15",1,"Mendenhall Loop Road @ Goat Hill - bottom","Mendenhall Loop Road",3,0,0,"Juneau City & Borough","AK","USA",,,,
18,18,2013-03-06 19:51:16.545+00,,"17",1,"Haines Highway @ Chilkat River Bridge MP 23.8","Haines Highway",23,0,0,"Haines Borough","AK","USA",,,,
19,19,2013-03-06 19:51:16.545+00,,"18",1,"Glenn Highway @ Gunsight Mountain MP 117","State Hwy 1 - Glenn Highway",109,0,0,"Matanuska-Susitna Borough","AK","USA",,,,
21,21,2013-03-06 19:51:16.546+00,,"20",1,"Richardson Highway @ Valdez MP 18.6","State Hwy 4 - Richardson Highway",23,0,0,"Valdez-Cordova Census Area","AK","USA",,,,
23,23,2013-03-06 19:51:16.547+00,,"22",1,"Richardson Highway @ Birch Lake MP 307.2","State Hwy 2 - Richardson Highway",309,0,0,"Fairbanks North Star Borough","AK","USA",,,,
24,24,2013-03-06 19:51:16.548+00,,"23",1,"Tok Cutoff @ Mentasta Pass MP 79.2","State Hwy 1 - Tok Cutoff",78,0,0,"Valdez-Cordova Census Area","AK","USA",,,,
25,25,2013-03-06 19:51:16.548+00,,"24",1,"Richardson Highway @ Trims DOT MS MP 218.2","State Hwy 4 - Richardson Highway",221,0,0,"Southeast Fairbanks Census Area","AK","USA",,,,
26,26,2013-03-06 19:51:16.549+00,,"25",1,"Alaska Highway @ DOT Lake MP 1360.4","State Hwy 2 - Alaska Highway",136,16.5,0,"Southeast Fairbanks Census Area","AK","USA",,,,
27,27,2013-03-06 19:51:16.549+00,,"26",1,"Richardson Highway @ Thompson Pass MP 25.7","State Hwy 4 - Richardson Highway",30,0,0,"Valdez-Cordova Census Area","AK","USA",,,,
28,28,2013-03-06 19:51:16.55+00,,"27",1,"Richardson Highway @ Badger Interchange MP 358","Richardson Highway",359,0,0,"Fairbanks North Star Borough","AK","USA",,,,
29,29,2013-03-06 19:51:16.551+00,,"28",1,"University Avenue Fairbanks @ Chena River Bridge","University Avenue Fairbanks",4,0,0,"Fairbanks North Star Borough","AK","USA",,,,
30,30,2013-03-06 19:51:16.551+00,,"29",1,"Steese Highway @ Cleary Summit MP 20.9","Steese Highway",20,0,0,"Fairbanks North Star Borough","AK","USA",,,,
31,31,2013-03-06 19:51:16.552+00,,"30",1,"Haines Highway @ Klehini MP 36.6","Haines Highway",36,0,0,"Haines Borough","AK","USA",,,,
32,32,2013-03-06 19:51:16.552+00,,"31",1,"Parks Highway @ Little Coal Creek MP 163.2","State Hwy 3 - Parks Highway",128,0,0,"Matanuska-Susitna Borough","AK","USA",,,,
33,33,2013-03-06 19:51:16.553+00,,"32",1,"Klondike Highway @ US/Canada Border MP 14.9","Klondike Highway",15,0,0,"Skagway-Hoonah-Angoon Census Area","AK","USA",,,,
34,34,2013-03-06 19:51:16.553+00,,"33",1,"Whittier Access Road @ Tunnel MP 1.35","Whittier Access Road",1,0,0,"Anchorage Borough","AK","USA",,,,
35,35,2013-03-06 19:51:16.554+00,,"34",1,"North Douglas Highway MP 4","North Douglas Highway",3,0,0,"Juneau City & Borough","AK","USA",,,,
36,36,2013-03-06 19:51:16.554+00,,"35",1,"Richardson Highway @ Stuart Creek MP 45.7","State Hwy 4 - Richardson Highway",50,0,0,"Valdez-Cordova Census Area","AK","USA",,,,
37,37,2013-03-06 19:51:16.555+00,,"42",1,"Glenn Highway @ MP 176.6","Glenn Highway",167,0,0,"Valdez-Cordova Census Area","AK","USA",,,,
38,38,2013-03-06 19:51:16.555+00,,"43",1,"Seward Highway @ Turnagain Pass MP 69.9","State Hwy 1 - Seward Highway",67,0,0,"Kenai Peninsula Borough","AK","USA",,,,
39,39,2013-03-06 19:51:16.556+00,,"45",1,"Sterling Highway @ Tern Lake MP 37","State Hwy 1 - Sterling Highway",0,0,0,"Kenai Peninsula Borough","AK","USA",,,,
40,40,2013-03-06 19:51:16.556+00,,"46",1,"Glenn Highway @ Thunderbird Falls MP 24","Glenn Highway",23,0,0,"Anchorage Borough","AK","USA",,,,
41,41,2013-03-06 19:51:16.557+00,,"48",1,"Sterling Highway @ Jean Lake Hill MP 62.3","State Hwy 1 - Sterling Highway",27,0,0,"Kenai Peninsula Borough","AK","USA",,,,
