date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,0.00,0.00,3.36,70.00,0.00,0.00,7.38,99.00,75.02,59.18,42.98,75.92,42.80,2.00,3.00,3.00,100.04,106.34,,,59.00,2016/04/11 18:56:59,2016/04/11 18:59:11,31.00,,,
2016/04/14 19:10:00,0.00,0.00,0.45,140.00,0.00,0.00,10.51,79.00,75.20,59.00,41.90,75.92,42.80,2.00,3.00,3.00,101.30,107.42,,,59.00,2016/04/11 18:56:59,2016/04/11 18:59:11,30.00,,,
2016/04/14 19:20:00,73.00,5.37,4.47,75.00,5.37,73.00,12.75,79.00,75.20,58.82,40.64,75.92,42.80,2.00,3.00,3.00,100.22,105.98,,,59.18,2016/04/11 18:56:59,2016/04/11 18:59:11,28.00,,,
2016/04/14 19:30:00,146.00,5.37,2.91,145.00,5.37,146.00,6.49,171.00,75.20,58.82,41.36,76.10,42.80,2.00,3.00,3.00,100.58,106.52,,,59.18,2016/04/11 18:56:59,2016/04/11 18:59:11,29.00,,,
2016/04/14 19:40:00,118.00,4.25,3.13,70.00,4.25,118.00,8.95,96.00,75.92,59.54,42.98,76.28,42.80,2.00,3.00,3.00,100.58,106.34,,,59.36,2016/04/11 18:56:59,2016/04/11 18:59:11,30.00,,,
2016/04/14 19:50:00,127.00,1.57,1.34,115.00,2.01,116.00,10.29,75.00,75.92,59.36,41.90,76.28,42.80,2.00,3.00,3.00,100.58,105.80,,,59.36,2016/04/11 18:56:59,2016/04/11 18:59:11,29.00,,,
2016/04/14 20:00:00,0.00,0.00,0.67,160.00,0.00,0.00,6.04,118.00,75.92,59.36,42.62,76.46,42.80,2.00,3.00,3.00,100.94,106.34,,,59.72,2016/04/11 18:56:59,2016/04/11 18:59:11,30.00,,,
2016/04/14 20:10:00,123.00,3.36,4.25,85.00,3.36,123.00,14.32,79.00,75.74,59.54,43.52,76.46,42.80,2.00,3.00,3.00,99.68,105.80,,,59.90,2016/04/11 18:56:59,2016/04/11 18:59:11,32.00,,,
2016/04/14 20:20:00,128.00,5.59,4.25,120.00,5.59,128.00,8.05,120.00,75.74,59.54,43.16,76.46,42.80,2.00,3.00,3.00,100.04,105.26,,,59.90,2016/04/11 18:56:59,2016/04/11 18:59:11,31.00,,,
2016/04/14 20:30:00,95.00,3.80,2.01,115.00,3.80,95.00,6.26,111.00,75.92,59.54,43.88,76.46,42.80,2.00,3.00,3.00,98.78,105.08,,,60.08,2016/04/11 18:56:59,2016/04/11 18:59:11,32.00,,,
