date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Precipitation Situation [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point Bridge °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Bridge %,Surface Salinity Approach %,
2016/04/14 19:00:00,83.00,12.30,8.05,85.00,12.30,83.00,14.09,84.00,70.70,56.12,39.38,71.60,44.78,2.00,,3.00,3.00,102.20,103.64,,,60.26,2016/04/11 18:15:42,2016/04/11 18:17:40,31.00,,,
2016/04/14 19:10:00,295.00,0.89,1.57,10.00,0.89,307.00,12.08,50.00,71.96,56.84,40.10,71.96,44.78,2.00,,3.00,3.00,101.66,103.82,,,60.44,2016/04/11 18:15:42,2016/04/11 18:17:40,31.00,,,
2016/04/14 19:20:00,97.00,4.70,3.36,40.00,4.70,97.00,11.63,61.00,71.24,56.66,40.46,72.32,44.78,2.00,,3.00,3.00,103.46,104.72,,,60.62,2016/04/11 18:15:42,2016/04/11 18:17:40,32.00,,,
2016/04/14 19:30:00,113.00,8.95,6.71,90.00,8.95,113.00,10.96,97.00,70.88,56.48,41.00,72.50,44.78,2.00,,3.00,3.00,103.10,104.54,,,60.62,2016/04/11 18:15:42,2016/04/11 18:17:40,34.00,,,
2016/04/14 19:40:00,1.00,7.38,8.72,0.00,7.38,352.00,12.30,13.00,71.78,56.84,40.28,72.50,44.78,2.00,,3.00,3.00,102.38,104.36,,,60.80,2016/04/11 18:15:42,2016/04/11 18:17:40,31.00,,,
2016/04/14 19:50:00,95.00,3.13,3.58,70.00,3.13,95.00,8.95,35.00,71.60,56.84,41.00,72.50,44.78,2.00,,3.00,3.00,103.46,105.08,,,60.80,2016/04/11 18:15:42,2016/04/11 18:17:40,32.00,,,
2016/04/14 20:00:00,158.00,4.03,3.58,115.00,4.03,158.00,11.18,80.00,72.50,58.46,45.14,72.50,44.78,2.00,,3.00,Error,102.92,105.26,,,60.98,2016/04/11 18:15:42,2016/04/11 18:17:40,35.00,,,
2016/04/14 20:10:00,94.00,3.36,4.70,95.00,3.36,94.00,10.29,18.00,72.86,58.28,44.06,73.04,44.78,2.00,,3.00,3.00,101.66,104.00,,,61.16,2016/04/11 18:15:42,2016/04/11 18:17:40,36.00,,,
2016/04/14 20:20:00,35.00,6.26,5.59,50.00,6.26,38.00,8.72,53.00,72.86,57.92,42.26,73.22,44.78,2.00,,3.00,3.00,101.30,103.46,,,61.16,2016/04/11 18:15:42,2016/04/11 18:17:40,33.00,,,
2016/04/14 20:30:00,29.00,6.26,3.80,85.00,6.26,29.00,11.63,66.00,72.68,58.64,45.86,73.22,44.78,2.00,,3.00,3.00,101.30,103.28,,,61.34,2016/04/11 18:15:42,2016/04/11 18:17:40,38.00,,,
