date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point Bridge °F,SubSurface Temperature °F,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,50.00,7.38,7.61,55.00,7.38,50.00,15.88,89.00,65.84,52.16,31.46,66.38,39.20,2.00,3.00,3.00,93.02,88.34,,,54.86,27.00,,,
2016/04/14 19:10:00,91.00,14.32,11.18,90.00,14.32,91.00,18.34,93.00,65.48,51.80,30.56,66.38,39.20,2.00,3.00,3.00,93.20,88.70,,,55.22,26.00,,,
2016/04/14 19:20:00,95.00,7.38,9.84,90.00,7.38,95.00,17.00,99.00,66.20,52.34,31.10,66.92,39.20,2.00,3.00,3.00,92.12,88.16,,,55.40,26.00,,,
2016/04/14 19:30:00,91.00,12.75,9.40,70.00,12.75,91.00,18.79,99.00,66.74,52.70,30.74,67.64,39.20,2.00,3.00,3.00,92.84,88.52,,,55.58,25.00,,,
2016/04/14 19:40:00,149.00,5.82,9.40,105.00,5.82,149.00,18.12,98.00,66.74,52.52,30.38,67.64,39.20,2.00,3.00,3.00,91.94,88.52,,,55.58,25.00,,,
2016/04/14 19:50:00,99.00,4.03,8.95,110.00,4.03,99.00,15.66,98.00,67.10,52.88,29.84,67.64,39.20,2.00,3.00,3.00,92.30,88.70,,,55.94,24.00,,,
2016/04/14 20:00:00,81.00,12.08,8.72,75.00,12.08,81.00,19.46,74.00,67.46,53.06,30.20,68.00,39.20,2.00,3.00,3.00,91.76,88.52,,,56.12,24.00,,,
2016/04/14 20:10:00,66.00,5.82,6.49,65.00,5.82,66.00,17.22,136.00,67.82,53.24,30.38,68.00,39.20,2.00,3.00,3.00,91.40,87.98,,,56.30,24.00,,,
2016/04/14 20:20:00,105.00,10.29,10.07,95.00,10.29,105.00,14.76,101.00,67.64,53.06,30.38,68.00,39.20,2.00,3.00,3.00,91.40,88.16,,,56.48,24.00,,,
2016/04/14 20:30:00,28.00,5.59,4.03,15.00,5.59,28.00,14.09,76.00,67.82,53.24,30.56,68.36,39.20,2.00,3.00,3.00,91.58,87.62,,,56.84,24.00,,,
