date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Bridge [logic],Road Temp. Bridge °F,Freeze Point Bridge °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Bridge %,Road Condition Approach [logic],Road Temp. Approach °F,Subsurface Temperature  °F,Freezing Temperature Approach °F,Water Film Approach mil,Saline Concentration Approach %,Friction N/A,
2016/04/14 19:01:00,,,,,,,,,,,,73.40,44.96,2.00,3.00,108.32,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,10.00,111.49,80.06,,0.00,,0.82,
2016/04/14 19:02:00,3.00,8.28,5.59,5.00,8.28,3.00,10.51,2.00,72.86,57.38,39.92,73.40,44.96,2.00,3.00,107.60,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,,,,,,,,
2016/04/14 19:10:00,3.00,7.83,6.04,5.00,7.83,3.00,11.41,3.00,72.32,57.02,39.56,73.40,44.96,2.00,3.00,108.32,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,10.00,111.48,80.56,,0.00,,0.82,
2016/04/14 19:20:00,5.00,8.95,6.26,5.00,8.95,5.00,11.41,2.00,72.32,57.02,39.74,73.40,44.96,2.00,3.00,107.60,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,,,,,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,,,,,,,10.00,111.33,81.11,,0.00,,0.82,
2016/04/14 19:30:00,3.00,4.70,4.25,5.00,4.70,3.00,9.84,1.00,73.76,57.92,40.10,73.76,44.96,2.00,3.00,110.30,,2016/04/13 10:26:49,2016/04/13 10:28:52,29.00,,,,,,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,,,,,,,10.00,111.92,81.57,,0.00,,0.82,
2016/04/14 19:40:00,3.00,3.58,5.14,5.00,3.58,3.00,12.08,1.00,73.22,57.56,40.28,73.94,44.96,2.00,3.00,108.32,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,,,,,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,,,,,,,10.00,111.36,82.01,,0.00,,0.82,
2016/04/14 19:50:00,3.00,2.01,1.79,5.00,2.01,3.00,8.28,3.00,73.94,58.10,41.18,73.94,44.96,2.00,3.00,107.96,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,10.00,110.89,82.42,,0.00,,0.82,
2016/04/14 20:00:00,1.00,7.38,6.71,5.00,7.38,1.00,12.97,3.00,73.94,58.10,41.00,74.84,44.96,2.00,3.00,106.52,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,,,,,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,,,,,,,10.00,110.11,82.80,,0.00,,0.82,
2016/04/14 20:10:00,3.00,0.45,3.13,5.00,0.45,3.00,8.28,3.00,73.94,58.10,40.82,74.84,44.96,2.00,3.00,106.34,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,,,,,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,,,,,,,10.00,109.30,83.12,,0.00,,0.82,
2016/04/14 20:20:00,2.00,3.13,3.80,5.00,3.13,2.00,9.84,2.00,73.94,58.28,41.54,74.84,44.96,2.00,3.00,105.98,,2016/04/13 10:26:49,2016/04/13 10:28:52,31.00,,,,,,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,,,,,,,10.00,108.94,83.37,,0.00,,0.82,
2016/04/14 20:30:00,3.00,7.83,8.50,5.00,7.83,3.00,12.97,2.00,73.40,57.74,40.46,74.84,44.96,2.00,3.00,105.26,,2016/04/13 10:26:49,2016/04/13 10:28:52,30.00,,,,,,,,,
