date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,52.00,4.70,8.95,65.00,4.70,52.00,14.99,75.00,63.32,49.10,33.80,63.32,33.80,2.00,3.00,3.00,90.50,96.26,,,2016/04/11 10:08:48,2016/04/11 14:54:55,33.00,53.42,,,
2016/04/14 19:10:00,54.00,6.71,7.16,60.00,6.71,54.00,16.11,78.00,63.14,48.20,31.46,63.86,33.80,2.00,3.00,3.00,91.76,96.62,,,2016/04/11 10:08:48,2016/04/11 14:54:55,30.00,53.60,,,
2016/04/14 19:20:00,61.00,7.83,7.16,55.00,7.83,61.00,16.11,87.00,63.50,48.92,33.08,63.86,33.80,2.00,3.00,3.00,91.58,96.44,,,2016/04/11 10:08:48,2016/04/11 14:54:55,32.00,53.60,,,
2016/04/14 19:30:00,100.00,5.82,5.82,55.00,5.82,100.00,15.66,97.00,64.22,49.46,33.62,64.40,33.80,2.00,3.00,3.00,90.86,95.36,,,2016/04/11 10:08:48,2016/04/11 14:54:55,31.00,53.78,,,
2016/04/14 19:40:00,61.00,6.71,6.04,65.00,6.71,61.00,14.99,74.00,64.94,49.64,33.08,64.94,33.80,2.00,3.00,3.00,91.04,95.72,,,2016/04/11 10:08:48,2016/04/11 14:54:55,30.00,53.96,,,
2016/04/14 19:50:00,93.00,4.70,5.59,85.00,4.70,93.00,7.83,80.00,64.04,48.74,31.82,64.94,33.80,2.00,3.00,3.00,90.50,96.26,,,2016/04/11 10:08:48,2016/04/11 14:54:55,29.00,54.14,,,
2016/04/14 20:00:00,60.00,7.38,6.71,70.00,7.38,60.00,9.84,67.00,64.40,48.56,30.02,64.94,33.80,2.00,3.00,3.00,91.40,95.72,,,2016/04/11 10:08:48,2016/04/11 14:54:55,27.00,54.32,,,
2016/04/14 20:10:00,52.00,8.28,7.16,50.00,8.28,52.00,9.40,49.00,65.12,49.64,32.72,65.12,33.80,2.00,3.00,3.00,91.04,95.54,,,2016/04/11 10:08:48,2016/04/11 14:54:55,28.00,54.50,,,
2016/04/14 20:20:00,66.00,4.70,4.92,60.00,4.70,66.00,8.28,51.00,64.94,49.10,31.46,65.66,33.80,2.00,3.00,3.00,90.50,95.36,,,2016/04/11 10:08:48,2016/04/11 14:54:55,28.00,54.68,,,
2016/04/14 20:30:00,79.00,6.26,5.14,75.00,6.26,79.00,8.28,65.00,65.30,49.28,31.82,65.66,33.80,2.00,3.00,3.00,90.14,95.54,,,2016/04/11 10:08:48,2016/04/11 14:54:55,28.00,54.86,,,
