date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,71.00,5.14,6.04,75.00,5.14,71.00,11.86,85.00,75.38,60.08,46.22,75.38,47.66,2.00,3.00,3.00,103.64,101.48,,,59.18,2011/01/04 04:11:33,2011/01/04 04:15:50,35.00,,,
2016/04/14 19:10:00,79.00,5.59,8.28,100.00,5.59,79.00,11.18,93.00,75.38,60.08,46.04,75.56,47.66,2.00,3.00,3.00,103.82,100.94,,,59.18,2011/01/04 04:11:33,2011/01/04 04:15:50,35.00,,,
2016/04/14 19:20:00,110.00,6.49,4.47,75.00,6.49,110.00,8.95,144.00,75.92,60.62,46.76,75.92,47.66,2.00,3.00,3.00,103.10,101.66,,,59.18,2011/01/04 04:11:33,2011/01/04 04:15:50,35.00,,,
2016/04/14 19:30:00,97.00,6.04,6.04,95.00,6.04,97.00,10.29,123.00,75.56,60.26,46.58,76.28,47.66,2.00,3.00,3.00,103.28,101.66,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,35.00,,,
2016/04/14 19:40:00,128.00,2.46,5.37,120.00,2.46,128.00,12.97,102.00,75.74,60.44,46.94,76.28,47.66,2.00,3.00,3.00,102.02,100.58,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,36.00,,,
2016/04/14 19:50:00,106.00,8.28,5.14,95.00,8.28,106.00,9.84,87.00,76.46,60.98,47.30,76.46,47.66,2.00,3.00,3.00,102.74,100.40,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,35.00,,,
2016/04/14 20:00:00,86.00,6.71,4.25,95.00,6.71,86.00,12.08,80.00,76.46,60.80,46.94,76.64,47.66,2.00,3.00,3.00,102.74,100.22,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,35.00,,,
2016/04/14 20:10:00,114.00,5.14,3.80,105.00,5.14,114.00,13.20,75.00,76.64,60.98,46.94,76.64,47.66,2.00,3.00,3.00,100.94,99.50,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,34.00,,,
2016/04/14 20:20:00,136.00,7.16,6.93,120.00,7.16,136.00,11.41,106.00,76.28,60.80,47.48,76.82,47.66,2.00,3.00,3.00,100.58,99.14,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,36.00,,,
2016/04/14 20:30:00,79.00,3.58,4.92,80.00,3.58,79.00,8.05,117.00,76.46,60.98,47.66,76.82,47.66,2.00,1.00,3.00,100.22,98.78,,,59.36,2011/01/04 04:11:33,2011/01/04 04:15:50,36.00,,,
