date_time,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Rel. Humidity %,Precipitation Situation [logic],Visibility m,Road Condition Approach [logic],Road Temp. Approach °F,Subsurface Temperature 1 °F,Freeze Point Approach °F,Water Film Approach mil,Saline Concentration Approach %,Friction Approach N/A,
2016/04/14 19:00:00,61.88,,32.54,62.60,34.34,33.00,,,,,,,,,,
2016/04/14 19:01:00,,,,,,,3.00,2000.00,10.00,100.91,53.94,,0.00,,0.82,
2016/04/14 19:10:00,61.52,47.48,30.92,,,,,,,,,,,,,
2016/04/14 19:11:00,,,,,34.34,31.00,3.00,2000.00,10.00,100.78,54.01,,0.00,,0.82,
2016/04/14 19:20:00,62.42,48.02,31.64,63.32,34.34,31.00,3.00,2000.00,,,,,,,,
2016/04/14 19:21:00,,,,,,,,,10.00,101.00,54.09,,0.00,,0.82,
2016/04/14 19:30:00,62.78,48.02,31.46,63.32,34.34,30.00,3.00,2000.00,,,,,,,,
2016/04/14 19:31:00,,,,,,,,,10.00,100.76,54.16,,0.00,,0.82,
2016/04/14 19:40:00,62.78,48.02,31.64,63.68,34.34,31.00,3.00,2000.00,,,,,,,,
2016/04/14 19:41:00,,,,,,,,,10.00,100.69,54.25,,0.00,,0.82,
2016/04/14 19:50:00,62.60,48.02,31.46,63.68,34.34,33.00,3.00,2000.00,,,,,,,,
2016/04/14 19:51:00,,,,,,,,,10.00,100.83,54.34,,0.00,,0.82,
2016/04/14 20:00:00,63.32,48.74,32.54,63.68,34.34,31.00,3.00,2000.00,,,,,,,,
2016/04/14 20:01:00,,,,,,,,,10.00,100.73,54.43,,0.00,,0.82,
2016/04/14 20:10:00,63.86,49.46,33.98,63.86,34.34,32.00,3.00,2000.00,,,,,,,,
2016/04/14 20:11:00,,,,,,,,,10.00,100.39,54.52,,0.00,,0.82,
2016/04/14 20:20:00,62.96,48.56,32.54,64.04,34.34,31.00,3.00,2000.00,,,,,,,,
