date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,97.00,9.40,9.84,75.00,14.99,76.00,14.99,76.00,61.16,50.18,35.60,61.70,33.08,2.00,3.00,3.00,88.88,83.84,,,50.72,2016/04/11 15:16:45,2016/04/11 15:18:47,38.00,,,
2016/04/14 19:10:00,89.00,12.08,12.97,95.00,12.08,89.00,17.67,66.00,61.70,50.54,36.32,61.88,33.08,2.00,3.00,3.00,89.24,83.66,,,50.72,2016/04/11 15:16:45,2016/04/11 15:18:47,38.00,,,
2016/04/14 19:20:00,83.00,12.75,10.96,100.00,12.75,68.00,16.55,80.00,61.52,50.54,36.32,61.88,33.08,2.00,3.00,3.00,89.06,84.02,,,50.72,2016/04/11 15:16:45,2016/04/11 15:18:47,38.00,,,
2016/04/14 19:30:00,83.00,10.51,12.30,90.00,10.51,83.00,19.69,69.00,62.24,50.72,35.96,62.42,33.08,2.00,3.00,3.00,88.70,83.66,,,50.72,2016/04/11 15:16:45,2016/04/11 15:18:47,37.00,,,
2016/04/14 19:40:00,72.00,12.30,10.74,100.00,14.09,88.00,18.79,80.00,62.24,50.90,36.14,62.42,33.08,2.00,3.00,3.00,88.70,84.20,,,50.72,2016/04/11 15:16:45,2016/04/11 15:18:47,37.00,,,
2016/04/14 19:50:00,128.00,9.62,9.84,110.00,9.62,121.00,15.88,76.00,63.14,51.44,36.50,63.14,33.08,2.00,3.00,3.00,88.16,83.66,,,50.90,2016/04/11 15:16:45,2016/04/11 15:18:47,37.00,,,
2016/04/14 20:00:00,78.00,6.26,8.28,75.00,6.26,78.00,19.91,66.00,62.24,50.54,35.24,63.32,33.08,2.00,3.00,3.00,88.16,83.48,,,50.90,2016/04/11 15:16:45,2016/04/11 15:18:47,36.00,,,
2016/04/14 20:10:00,88.00,12.08,12.97,85.00,12.08,88.00,19.91,84.00,62.42,50.72,35.06,63.32,33.08,2.00,3.00,3.00,87.08,82.40,,,51.08,2016/04/11 15:16:45,2016/04/11 15:18:47,35.00,,,
2016/04/14 20:20:00,99.00,11.18,10.96,75.00,11.18,99.00,19.69,77.00,62.42,50.72,35.06,63.32,33.08,2.00,3.00,3.00,86.90,82.58,,,51.08,2016/04/11 15:16:45,2016/04/11 15:18:47,35.00,,,
2016/04/14 20:30:00,66.00,12.75,12.08,80.00,12.75,66.00,17.22,64.00,62.60,50.72,34.88,63.32,33.08,2.00,3.00,3.00,86.36,81.86,,,51.26,2016/04/11 15:16:45,2016/04/11 15:18:47,35.00,,,
