date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Temp. Approach °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Road Temp Bridge °F,WaterFilm Height Bridge mil,Freeze Point Bridge °F,Saline Concentration Bridge %,Friction Bridge N/A,Surface Salinity Approach %,
2016/04/14 19:00:00,70.00,7.61,12.30,80.00,7.61,70.00,17.00,77.00,67.10,53.24,34.70,67.10,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,30.00,,,,,,,,
2016/04/14 19:01:00,,,,,,,,,,,,,,,,,,,,,,93.68,0.00,,,0.82,,
2016/04/14 19:10:00,59.00,8.72,10.07,75.00,8.72,99.00,16.78,103.00,66.92,53.06,33.26,67.46,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,28.00,,93.72,0.00,,,0.82,,
2016/04/14 19:20:00,125.00,7.61,11.41,110.00,7.61,113.00,17.22,105.00,67.10,53.06,32.90,67.46,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,27.00,,,,,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,,,,,,,93.67,0.00,,,0.82,,
2016/04/14 19:30:00,82.00,9.17,9.40,85.00,9.17,81.00,16.55,78.00,67.64,53.42,33.44,67.64,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,27.00,,,,,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,,,,,,,93.54,0.00,,,0.82,,
2016/04/14 19:40:00,99.00,15.88,9.84,75.00,15.88,75.00,15.88,75.00,67.82,53.60,33.26,67.82,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,27.00,,,,,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,,,,,,,92.99,0.00,,,0.82,,
2016/04/14 19:50:00,93.00,11.86,11.63,90.00,11.86,83.00,16.55,87.00,67.82,53.60,33.26,68.00,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,27.00,,,,,,,,
2016/04/14 19:51:00,,,,,,,,,,,,,,,,,,,,,,92.34,0.00,,,0.82,,
2016/04/14 20:00:00,97.00,11.63,11.63,100.00,11.63,103.00,17.67,84.00,67.64,53.24,32.36,68.00,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,26.00,,,,,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,,,,,,,91.85,0.00,,,0.82,,
2016/04/14 20:10:00,91.00,10.96,9.40,85.00,10.96,91.00,16.33,93.00,68.36,53.78,33.08,68.36,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,26.00,,,,,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,,,,,,,91.72,0.00,,,0.82,,
2016/04/14 20:20:00,88.00,10.74,8.28,60.00,10.74,88.00,15.43,85.00,68.00,53.60,32.72,68.36,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,26.00,,,,,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,,,,,,,91.20,0.01,,,0.82,,
2016/04/14 20:30:00,90.00,12.08,9.84,85.00,12.08,90.00,16.55,75.00,67.82,53.42,32.54,68.36,36.68,2.00,,,,2016/04/11 23:15:19,2016/04/11 23:16:07,26.00,,,,,,,,
