date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,Surface Salinity #3 %,Road Condition # 3 [logic],Road Temp #3 °F,Freeze Point #3 °F,
2016/04/14 19:00:00,98.00,7.16,8.05,85.00,7.16,98.00,11.63,97.00,64.40,51.08,29.30,65.12,38.66,2.00,3.00,3.00,102.20,93.02,,,60.44,2016/04/14 08:14:41,2016/04/14 08:16:04,26.00,,,,3.00,89.42,,
2016/04/14 19:10:00,68.00,6.71,6.49,75.00,6.71,68.00,9.40,69.00,65.66,51.98,30.38,65.84,38.66,2.00,3.00,3.00,102.74,92.66,,,60.98,2016/04/14 08:14:41,2016/04/14 08:16:04,26.00,,,,3.00,89.60,,
2016/04/14 19:20:00,93.00,5.59,9.40,90.00,5.59,93.00,13.42,86.00,64.94,51.44,28.76,66.38,38.66,2.00,3.00,3.00,102.74,92.48,,,61.34,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,89.24,,
2016/04/14 19:30:00,109.00,2.91,5.59,130.00,2.91,129.00,10.29,86.00,66.02,52.16,29.30,66.38,38.66,2.00,3.00,3.00,102.74,91.22,,,61.70,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,89.24,,
2016/04/14 19:40:00,87.00,6.93,6.04,85.00,6.93,87.00,13.20,89.00,64.94,51.26,28.04,66.56,38.66,2.00,3.00,3.00,102.02,91.94,,,62.06,2016/04/14 08:14:41,2016/04/14 08:16:04,24.00,,,,3.00,89.24,,
2016/04/14 19:50:00,83.00,6.49,8.28,85.00,6.49,83.00,13.65,85.00,65.66,51.98,29.30,66.56,38.66,2.00,3.00,3.00,101.84,91.94,,,62.60,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,88.34,,
2016/04/14 20:00:00,92.00,6.04,7.16,95.00,6.04,82.00,11.18,78.00,65.84,51.98,29.48,66.56,38.66,2.00,3.00,3.00,101.66,91.58,,,62.78,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,88.52,,
2016/04/14 20:10:00,139.00,6.71,5.82,95.00,6.71,139.00,12.08,65.00,65.66,51.80,29.30,66.56,38.66,2.00,3.00,3.00,100.58,90.86,,,63.14,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,87.98,,
2016/04/14 20:20:00,102.00,5.59,8.28,95.00,5.59,102.00,11.63,85.00,65.30,51.62,28.94,66.56,38.66,2.00,3.00,3.00,99.50,90.50,,,63.68,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,86.90,,
2016/04/14 20:30:00,74.00,4.70,6.04,100.00,4.70,74.00,12.30,93.00,65.66,51.98,29.30,66.56,38.66,2.00,3.00,3.00,98.78,89.78,,,63.86,2016/04/14 08:14:41,2016/04/14 08:16:04,25.00,,,,3.00,86.36,,
