date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,39.00,6.49,7.83,50.00,6.49,39.00,12.75,56.00,60.98,48.74,26.60,62.06,37.94,2.00,3.00,3.00,91.58,90.14,,,,,26.00,54.32,,,
2016/04/14 19:10:00,354.00,5.14,6.26,25.00,5.14,354.00,11.63,1.00,62.06,49.46,27.68,62.42,37.94,2.00,3.00,3.00,91.94,90.50,,,,,27.00,54.32,,,
2016/04/14 19:20:00,70.00,6.26,6.49,100.00,6.26,70.00,12.53,40.00,61.88,49.46,28.58,62.60,37.94,2.00,3.00,3.00,91.58,90.14,,,,,28.00,54.50,,,
2016/04/14 19:30:00,86.00,4.03,5.37,80.00,4.03,86.00,15.43,63.00,61.70,49.28,27.86,62.60,37.94,2.00,3.00,3.00,91.58,90.14,,,,,27.00,54.68,,,
2016/04/14 19:40:00,37.00,10.29,8.72,45.00,10.29,37.00,14.32,58.00,62.78,50.00,28.58,63.14,37.94,2.00,3.00,3.00,91.76,90.50,,,,,26.00,54.86,,,
2016/04/14 19:50:00,45.00,6.26,8.05,40.00,6.26,45.00,12.53,69.00,62.96,50.00,26.96,63.14,37.94,2.00,3.00,3.00,91.94,90.32,,,,,25.00,55.04,,,
2016/04/14 20:00:00,54.00,14.09,8.28,35.00,14.09,54.00,15.66,56.00,62.78,49.82,27.32,63.32,37.94,2.00,3.00,3.00,91.40,89.78,,,,,25.00,55.22,,,
2016/04/14 20:10:00,34.00,7.61,6.71,45.00,7.61,34.00,14.99,41.00,63.32,50.36,27.86,63.32,37.94,2.00,3.00,3.00,91.04,89.60,,,,,25.00,55.40,,,
2016/04/14 20:20:00,29.00,8.72,8.95,75.00,8.72,29.00,16.33,63.00,62.78,50.00,27.50,63.68,37.94,2.00,3.00,3.00,90.68,89.60,,,,,25.00,55.58,,,
2016/04/14 20:30:00,104.00,7.38,7.16,85.00,7.38,104.00,17.00,70.00,63.50,50.54,28.94,63.68,37.94,2.00,3.00,3.00,90.32,88.70,,,,,27.00,55.76,,,
