date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition 1 [logic],Road Condition 2 [logic],Road Temp. 1 °F,Road Temp. 2 °F,Freeze Point 1 °F,Freeze Point 2 °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity 1 %,Surface Salinity 2 %,Road Condition Approach [logic],Road Temp. Approach °F,Subsurface Temperature 1 °F,Freezing Temp. Approach °F,Water Film Approach mil,Saline Concentration Approach %,Friction Approach N/A,Road Condition Bridge [logic],Road Temp. Bridge °F,Freeze Point Bridge °F,WaterFilm Height Bridge mil,Saline Concentration Bridge %,Friction Bridge N/A,
2016/04/14 19:00:00,104.00,9.40,6.71,100.00,9.40,104.00,13.42,110.00,64.94,51.44,28.94,64.94,37.40,2.00,3.00,3.00,88.34,93.20,,,2016/04/11 12:39:05,2016/04/11 12:41:03,25.00,,,,,,,,,,,,,,,,
2016/04/14 19:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,85.71,48.53,,0.00,,0.82,20.00,87.29,,0.26,,,
2016/04/14 19:10:00,98.00,5.82,6.71,95.00,5.82,98.00,12.30,110.00,64.22,50.90,28.58,64.94,37.40,2.00,3.00,3.00,88.34,92.66,,,2016/04/11 12:39:05,2016/04/11 12:41:03,26.00,,,10.00,85.80,48.54,,0.00,,0.82,20.00,87.52,,0.23,,,
2016/04/14 19:20:00,113.00,7.83,10.51,110.00,7.83,113.00,13.42,111.00,65.12,51.62,29.84,65.48,37.40,2.00,3.00,3.00,88.34,92.48,,,2016/04/11 12:39:05,2016/04/11 12:41:03,26.00,,,,,,,,,,,,,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,85.74,48.55,,0.00,,0.82,20.00,87.47,,0.26,,,
2016/04/14 19:30:00,125.00,9.17,10.29,120.00,9.17,125.00,13.42,135.00,64.40,51.08,29.12,65.66,37.40,2.00,3.00,3.00,88.34,92.66,,,2016/04/11 12:39:05,2016/04/11 12:41:03,26.00,,,,,,,,,,,,,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,85.70,48.55,,0.00,,0.82,20.00,87.57,,0.23,,,
2016/04/14 19:40:00,105.00,7.83,11.63,115.00,7.83,105.00,16.11,94.00,64.40,51.08,28.04,65.66,37.40,2.00,3.00,3.00,87.98,92.48,,,2016/04/11 12:39:05,2016/04/11 12:41:03,25.00,,,,,,,,,,,,,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,85.50,48.56,,0.00,,0.82,20.00,87.29,,0.26,,,
2016/04/14 19:50:00,105.00,8.72,7.83,115.00,8.72,105.00,12.30,138.00,65.30,51.62,28.04,65.66,37.40,2.00,3.00,3.00,88.34,91.94,,,2016/04/11 12:39:05,2016/04/11 12:41:03,24.00,,,,,,,,,,,,,,,,
2016/04/14 19:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,85.42,48.58,,0.00,,0.82,20.00,87.39,,0.26,,,
2016/04/14 20:00:00,92.00,10.29,8.50,90.00,10.29,92.00,14.32,110.00,64.58,51.08,28.22,66.02,37.40,2.00,3.00,3.00,87.80,92.12,,,2016/04/11 12:39:05,2016/04/11 12:41:03,25.00,,,,,,,,,,,,,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,85.24,48.59,,0.00,,0.82,20.00,87.41,,0.26,,,
2016/04/14 20:10:00,152.00,9.17,6.71,145.00,9.17,152.00,14.32,130.00,65.12,51.44,27.86,66.02,37.40,2.00,3.00,3.00,87.62,90.86,,,2016/04/11 12:39:05,2016/04/11 12:41:03,24.00,,,,,,,,,,,,,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,84.66,48.61,,0.00,,0.82,20.00,86.82,,0.26,,,
2016/04/14 20:20:00,110.00,6.26,10.74,110.00,6.26,110.00,15.21,115.00,65.84,51.98,30.92,66.02,37.40,2.00,3.00,3.00,85.28,90.14,,,2016/04/11 12:39:05,2016/04/11 12:41:03,26.00,,,,,,,,,,,,,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,84.12,48.62,,0.10,,0.82,20.00,86.35,,0.26,,,
2016/04/14 20:30:00,143.00,6.04,8.05,110.00,6.04,143.00,12.75,99.00,66.02,52.16,30.74,66.20,37.40,2.00,3.00,3.00,79.70,85.46,,,2016/04/11 12:39:05,2016/04/11 12:41:03,26.00,,,,,,,,,,,,,,,,
