date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Freeze Point Bridge °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Precipitation Situation [logic],Visibility m,Road Condition Approach [logic],Road Temp. Approach °F,Subsurface Temperature  °F,Freezing Temperature Approach °F,Water Film Approach mil,Saline Concentration Approach %,Friction Approach N/A,Road Condition Bridge [logic],Road Temp. Bridge °F,Freeze Point Bridge °F,WaterFilm Height Bridge mil,Saline Concentration Bridge %,Friction Bridge N/A,
2016/04/14 19:00:00,113.00,10.51,12.08,95.00,10.51,113.00,16.55,104.00,63.86,48.74,31.82,63.86,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,30.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 19:01:00,,,,,,,,,,,,,,,,,,,,,10.00,93.93,53.01,,0.00,,0.82,10.00,88.87,,0.00,,0.82,
2016/04/14 19:10:00,114.00,6.49,8.95,130.00,6.49,114.00,15.66,139.00,63.68,47.48,28.04,64.22,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,25.00,3.00,2000.00,10.00,93.66,53.06,,0.13,,0.82,10.00,88.93,,0.00,,0.82,
2016/04/14 19:20:00,113.00,5.59,6.26,115.00,5.59,85.00,13.65,114.00,64.58,48.56,30.20,64.58,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,27.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,,,,,,10.00,93.86,53.13,,0.07,,0.82,10.00,89.32,,0.20,,0.82,
2016/04/14 19:30:00,123.00,11.18,11.18,105.00,11.18,123.00,19.91,106.00,64.22,47.66,27.50,64.76,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,25.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,,,,,,10.00,93.64,53.20,,0.07,,0.82,10.00,89.32,,0.00,,0.82,
2016/04/14 19:40:00,116.00,10.29,10.74,120.00,10.29,116.00,19.01,124.00,64.22,48.38,30.02,64.76,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,27.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,,,,,,10.00,93.22,53.27,,0.00,,0.82,10.00,89.24,,0.13,,0.82,
2016/04/14 19:50:00,117.00,7.38,11.18,125.00,7.38,117.00,16.55,124.00,64.22,48.74,31.10,64.94,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,28.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 19:51:00,,,,,,,,,,,,,,,,,,,,,10.00,92.72,53.35,,0.07,,0.82,10.00,89.21,,0.00,,0.82,
2016/04/14 20:00:00,117.00,13.87,10.29,100.00,13.87,117.00,18.34,117.00,64.58,49.10,31.82,64.94,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,29.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,,,,,,10.00,92.52,53.42,,0.07,,0.82,10.00,88.89,,0.07,,0.82,
2016/04/14 20:10:00,132.00,8.50,8.28,120.00,8.50,132.00,15.88,131.00,64.58,49.82,34.52,64.94,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,32.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,,,,,,10.00,92.34,53.50,,0.07,,0.82,10.00,88.88,,0.00,,0.82,
2016/04/14 20:20:00,118.00,7.83,10.29,110.00,9.40,112.00,15.21,105.00,64.94,49.46,32.90,65.12,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,30.00,3.00,2000.00,,,,,,,,,,,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,,,,,,10.00,91.85,53.58,,0.07,,0.82,10.00,88.67,,0.00,,0.82,
2016/04/14 20:30:00,177.00,5.14,7.83,130.00,5.14,177.00,14.76,118.00,64.76,49.28,32.54,65.12,35.60,2.00,,2016/04/12 08:36:03,2016/04/12 09:06:56,29.00,3.00,2000.00,,,,,,,,,,,,,,
