date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,0.00,0.00,3.58,100.00,0.00,0.00,12.30,90.00,64.40,51.08,28.58,64.40,32.18,2.00,,3.00,,85.64,,,,,,25.00,,,
2016/04/14 19:10:00,130.00,4.47,7.61,130.00,7.83,83.00,12.08,144.00,63.50,50.36,27.50,64.40,32.18,2.00,,3.00,,85.64,,,,,,25.00,,,
2016/04/14 19:20:00,52.00,1.34,2.68,60.00,1.34,52.00,11.18,129.00,64.40,51.08,28.22,64.40,32.18,2.00,,3.00,,85.46,,,,,,25.00,,,
2016/04/14 19:30:00,98.00,4.03,3.13,125.00,4.03,98.00,12.08,44.00,64.76,51.26,28.40,65.30,32.18,2.00,,3.00,,84.92,,,,,,25.00,,,
2016/04/14 19:40:00,102.00,2.46,3.80,75.00,2.46,102.00,12.53,161.00,64.40,51.08,28.94,65.30,32.18,2.00,,3.00,,85.28,,,,,,25.00,,,
2016/04/14 19:50:00,114.00,5.59,2.91,100.00,5.59,114.00,11.41,92.00,65.48,51.80,29.84,65.48,32.18,2.00,,3.00,,84.74,,,,,,26.00,,,
2016/04/14 20:00:00,118.00,5.14,4.25,75.00,5.14,118.00,15.66,134.00,65.48,51.80,30.20,65.48,32.18,2.00,,3.00,,85.10,,,,,,26.00,,,
2016/04/14 20:10:00,70.00,4.70,5.37,105.00,4.70,70.00,10.29,159.00,65.48,51.80,29.84,65.66,32.18,2.00,,3.00,,84.20,,,,,,26.00,,,
2016/04/14 20:20:00,146.00,3.13,4.70,125.00,3.13,156.00,9.84,73.00,65.84,51.98,30.02,66.02,32.18,2.00,,3.00,,84.74,,,,,,26.00,,,
2016/04/14 20:30:00,77.00,2.68,4.92,105.00,2.68,77.00,9.84,71.00,66.02,52.16,30.20,66.20,32.18,2.00,,3.00,,84.38,,,,,,25.00,,,
