date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp Bridge °F,Freeze Point °F,Freeze Point Bridge °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,WaterFilm Height Bridge mil,Surface Salinity Approach %,Saline Concentration Bridge  %,Friction Bridge N/A,
2016/04/14 19:00:00,93.00,14.99,13.20,90.00,14.99,93.00,16.78,78.00,63.32,50.54,30.56,64.76,34.52,2.00,3.00,,84.74,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,28.00,51.44,,,,,
2016/04/14 19:01:00,,,,,,,,,,,,,,,,10.00,,82.39,,,,,,,0.00,,,0.82,
2016/04/14 19:10:00,86.00,11.63,11.86,90.00,11.63,86.00,17.22,75.00,63.86,50.90,30.74,64.76,34.52,2.00,3.00,10.00,85.10,82.50,,,2016/04/14 06:44:19,2016/04/14 06:46:01,28.00,51.62,0.00,,,0.82,
2016/04/14 19:20:00,71.00,7.38,11.63,75.00,8.28,72.00,16.55,76.00,63.86,50.90,31.64,64.76,34.52,2.00,3.00,,84.74,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,29.00,51.80,,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,10.00,,82.54,,,,,,,0.00,,,0.82,
2016/04/14 19:30:00,89.00,9.40,9.40,75.00,9.40,89.00,14.99,79.00,64.76,51.62,32.72,64.94,34.52,2.00,3.00,,85.28,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,30.00,51.80,,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,10.00,,82.54,,,,,,,0.00,,,0.82,
2016/04/14 19:40:00,85.00,14.76,12.30,100.00,14.76,85.00,15.88,88.00,64.22,51.26,32.18,64.94,34.52,2.00,3.00,,84.56,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,30.00,51.98,,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,10.00,,82.41,,,,,,,0.00,,,0.82,
2016/04/14 19:50:00,62.00,7.16,9.62,65.00,7.16,62.00,21.47,80.00,64.04,51.26,32.72,64.94,34.52,2.00,3.00,,84.92,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,30.00,51.98,,,,,
2016/04/14 19:51:00,,,,,,,,,,,,,,,,10.00,,82.22,,,,,,,0.04,,,0.82,
2016/04/14 20:00:00,49.00,4.25,5.14,45.00,4.25,49.00,14.54,84.00,65.30,52.16,34.16,65.30,34.52,2.00,3.00,,84.38,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,31.00,52.16,,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,10.00,,81.99,,,,,,,0.00,,,0.82,
2016/04/14 20:10:00,116.00,11.18,10.29,90.00,11.18,116.00,18.57,95.00,64.22,51.26,32.72,65.30,34.52,2.00,3.00,,83.66,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,30.00,52.16,,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,10.00,,81.82,,,,,,,0.00,,,0.82,
2016/04/14 20:20:00,49.00,5.37,6.26,70.00,5.37,49.00,14.32,85.00,64.76,51.80,33.98,65.30,34.52,2.00,3.00,,82.94,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,31.00,52.34,,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,10.00,,81.59,,,,,,,0.00,,,0.82,
2016/04/14 20:30:00,63.00,6.93,6.71,65.00,6.93,63.00,13.65,87.00,64.58,51.62,33.80,65.30,34.52,2.00,3.00,,82.94,,,,2016/04/14 06:44:19,2016/04/14 06:46:01,31.00,52.52,,,,,
