date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Precipitation Situation [logic],Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,79.00,9.17,6.71,50.00,9.17,56.00,12.75,78.00,65.66,51.98,30.02,66.56,36.14,2.00,3.00,3.00,103.28,98.78,,,2016/04/11 18:42:43,2016/04/11 18:44:44,26.00,56.84,,,,
2016/04/14 19:10:00,100.00,4.70,6.71,85.00,4.70,94.00,14.32,82.00,66.02,52.16,29.30,66.74,36.14,2.00,3.00,3.00,102.92,98.96,,,2016/04/11 18:42:43,2016/04/11 18:44:44,25.00,57.02,,,,
2016/04/14 19:20:00,73.00,9.40,6.26,70.00,9.40,64.00,14.54,66.00,66.20,52.16,29.30,66.74,36.14,2.00,3.00,3.00,103.28,98.60,,,2016/04/11 18:42:43,2016/04/11 18:44:44,24.00,57.02,,,,
2016/04/14 19:30:00,82.00,3.58,4.25,65.00,3.58,54.00,12.08,64.00,67.28,52.88,29.48,67.46,36.14,2.00,3.00,3.00,103.28,98.96,,,2016/04/11 18:42:43,2016/04/11 18:44:44,24.00,57.20,,,,
2016/04/14 19:40:00,56.00,5.82,5.82,55.00,5.82,17.00,12.53,54.00,67.10,52.88,29.84,67.82,36.14,2.00,3.00,3.00,102.74,98.96,,,2016/04/11 18:42:43,2016/04/11 18:44:44,24.00,57.38,,,,
2016/04/14 19:50:00,90.00,7.61,9.62,105.00,7.61,61.00,18.57,116.00,66.92,52.70,28.94,68.00,36.14,2.00,3.00,3.00,103.10,96.80,,,2016/04/11 18:42:43,2016/04/11 18:44:44,23.00,57.56,,,,
2016/04/14 20:00:00,102.00,9.17,8.95,90.00,9.17,79.00,18.12,85.00,66.74,52.52,28.76,68.00,36.14,2.00,3.00,3.00,101.30,96.80,,,2016/04/11 18:42:43,2016/04/11 18:44:44,23.00,57.56,,,,
2016/04/14 20:10:00,116.00,7.38,8.50,95.00,7.38,95.00,17.45,122.00,67.64,53.06,29.48,68.00,36.14,2.00,3.00,3.00,101.30,95.72,,,2016/04/11 18:42:43,2016/04/11 18:44:44,23.00,57.74,,,,
2016/04/14 20:20:00,77.00,8.28,6.26,70.00,8.28,102.00,14.54,84.00,66.38,52.16,28.04,68.00,36.14,2.00,3.00,3.00,100.58,96.62,,,2016/04/11 18:42:43,2016/04/11 18:44:44,23.00,57.92,,,,
2016/04/14 20:30:00,42.00,4.47,6.49,65.00,4.47,100.00,13.87,115.00,67.46,53.06,29.66,68.00,36.14,2.00,3.00,3.00,100.58,96.26,,,2016/04/11 18:42:43,2016/04/11 18:44:44,24.00,57.92,,,,
