date_time,Wind Speed mph,Spot Wind Direction °,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Precipitation Situation [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point Bridge °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Bridge %,
2016/04/14 19:00:00,10.29,138.00,10.51,130.00,10.29,138.00,17.00,90.00,62.60,50.54,33.44,63.14,33.98,2.00,,3.00,3.00,92.12,99.68,,,53.96,2016/04/14 12:09:21,2016/04/14 12:11:19,33.00,,,
2016/04/14 19:10:00,10.07,111.00,11.18,100.00,7.38,120.00,17.67,114.00,62.42,50.36,32.90,63.14,33.98,2.00,,3.00,3.00,91.22,98.42,,,54.14,2016/04/14 12:09:21,2016/04/14 12:11:19,32.00,,,
2016/04/14 19:20:00,13.87,85.00,13.42,90.00,13.87,85.00,19.69,111.00,63.14,50.90,33.62,63.50,33.98,2.00,,3.00,3.00,90.68,98.24,,,54.14,2016/04/14 12:09:21,2016/04/14 12:11:19,32.00,,,
2016/04/14 19:30:00,12.08,90.00,10.96,90.00,12.08,90.00,19.91,116.00,62.24,50.18,32.36,63.50,33.98,2.00,,3.00,3.00,91.58,98.60,,,54.50,2016/04/14 12:09:21,2016/04/14 12:11:19,32.00,,,
2016/04/14 19:40:00,12.97,88.00,9.84,95.00,12.97,88.00,19.24,125.00,62.42,50.54,33.62,63.50,33.98,2.00,,3.00,3.00,91.94,98.96,,,54.86,2016/04/14 12:09:21,2016/04/14 12:11:19,33.00,,,
2016/04/14 19:50:00,17.90,103.00,12.75,95.00,17.90,103.00,19.69,109.00,63.50,51.26,34.34,63.68,33.98,2.00,,3.00,3.00,91.40,98.24,,,54.50,2016/04/14 12:09:21,2016/04/14 12:11:19,33.00,,,
2016/04/14 20:00:00,10.29,136.00,9.40,135.00,10.29,136.00,18.57,104.00,62.96,50.72,33.44,63.68,33.98,2.00,,3.00,3.00,91.58,98.42,,,54.50,2016/04/14 12:09:21,2016/04/14 12:11:19,32.00,,,
2016/04/14 20:10:00,13.42,92.00,9.62,105.00,12.97,99.00,16.78,97.00,63.50,51.08,34.16,64.04,33.98,2.00,,3.00,3.00,91.58,97.52,,,55.22,2016/04/14 12:09:21,2016/04/14 12:11:19,33.00,,,
2016/04/14 20:20:00,6.26,107.00,11.86,100.00,6.26,107.00,17.90,109.00,63.50,51.26,34.34,64.04,33.98,2.00,,3.00,3.00,90.32,96.62,,,55.04,2016/04/14 12:09:21,2016/04/14 12:11:19,33.00,,,
2016/04/14 20:30:00,7.16,112.00,11.86,120.00,7.16,112.00,18.79,96.00,63.14,50.90,34.16,64.40,33.98,2.00,,3.00,3.00,89.60,96.26,,,55.40,2016/04/14 12:09:21,2016/04/14 12:11:19,33.00,,,
