date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,27.00,9.17,7.83,340.00,9.17,27.00,12.97,28.00,69.80,55.04,35.78,70.16,39.02,2.00,3.00,3.00,103.28,100.22,,,,,28.00,59.18,,,
2016/04/14 19:10:00,12.00,6.26,8.50,5.00,8.28,18.00,13.20,40.00,70.16,55.22,36.14,70.70,39.02,2.00,3.00,3.00,102.56,100.94,,,,,28.00,59.18,,,
2016/04/14 19:20:00,42.00,5.59,7.61,50.00,5.37,44.00,12.53,33.00,70.34,55.40,36.32,70.70,39.02,2.00,3.00,3.00,102.74,100.40,,,,,28.00,59.18,,,
2016/04/14 19:30:00,86.00,6.71,5.14,60.00,6.71,86.00,12.53,40.00,71.24,55.94,36.50,71.60,39.02,2.00,3.00,3.00,103.82,101.48,,,,,28.00,59.18,,,
2016/04/14 19:40:00,17.00,4.47,6.49,10.00,4.47,14.00,11.18,27.00,71.24,55.94,36.68,71.60,39.02,2.00,3.00,3.00,102.20,100.22,,,,,28.00,59.18,,,
2016/04/14 19:50:00,30.00,3.36,4.47,50.00,4.92,1.00,13.42,34.00,71.24,55.94,36.86,71.60,39.02,2.00,3.00,3.00,102.56,100.94,,,,,28.00,59.18,,,
2016/04/14 20:00:00,10.00,4.25,6.49,40.00,4.25,10.00,12.08,34.00,72.32,56.66,37.22,72.68,39.02,2.00,3.00,3.00,102.92,100.94,,,,,27.00,59.36,,,
2016/04/14 20:10:00,28.00,9.62,7.61,30.00,9.62,28.00,13.87,39.00,71.78,56.30,36.86,72.68,39.02,2.00,3.00,3.00,101.66,99.68,,,,,27.00,59.36,,,
2016/04/14 20:20:00,39.00,7.16,9.40,55.00,7.16,39.00,13.20,65.00,72.50,56.66,37.22,73.04,39.02,2.00,3.00,3.00,101.66,100.58,,,,,27.00,59.36,,,
2016/04/14 20:30:00,84.00,7.61,6.93,60.00,7.16,69.00,10.74,12.00,72.68,56.84,36.86,73.40,39.02,2.00,3.00,3.00,100.04,100.04,,,,,27.00,59.54,,,
