date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,94.00,12.75,6.26,115.00,12.75,94.00,12.75,85.00,66.56,52.34,28.76,67.46,36.14,2.00,3.00,3.00,99.14,95.90,,,58.10,24.00,,,
2016/04/14 19:10:00,95.00,4.25,4.25,70.00,4.25,95.00,13.42,94.00,67.10,52.70,29.66,67.46,36.14,2.00,3.00,3.00,98.60,95.18,,,58.28,24.00,,,
2016/04/14 19:20:00,93.00,6.71,5.82,55.00,6.71,93.00,11.41,69.00,67.46,52.88,29.30,67.64,36.14,2.00,3.00,3.00,99.68,95.90,,,58.46,23.00,,,
2016/04/14 19:30:00,152.00,3.13,3.58,135.00,3.13,152.00,9.84,186.00,68.54,53.60,30.20,68.54,36.14,2.00,3.00,3.00,99.32,95.90,,,58.82,23.00,,,
2016/04/14 19:40:00,69.00,8.05,3.80,100.00,8.05,69.00,13.65,76.00,67.46,53.06,29.66,68.54,36.14,2.00,3.00,3.00,98.96,95.18,,,59.18,24.00,,,
2016/04/14 19:50:00,181.00,4.03,5.37,95.00,4.03,181.00,11.41,67.00,68.36,53.60,30.02,68.90,36.14,2.00,3.00,3.00,99.50,95.72,,,59.36,23.00,,,
2016/04/14 20:00:00,79.00,8.05,4.70,105.00,8.05,79.00,12.08,100.00,68.18,53.42,29.48,69.44,36.14,2.00,3.00,3.00,98.60,95.18,,,59.54,23.00,,,
2016/04/14 20:10:00,100.00,6.93,8.95,80.00,6.93,100.00,14.09,77.00,67.82,53.06,29.12,69.44,36.14,2.00,3.00,3.00,97.88,94.82,,,59.90,23.00,,,
2016/04/14 20:20:00,193.00,2.91,2.46,70.00,2.91,193.00,9.17,100.00,69.26,54.14,29.66,69.44,36.14,2.00,3.00,3.00,98.24,94.64,,,60.26,22.00,,,
2016/04/14 20:30:00,0.00,0.00,4.25,155.00,0.00,0.00,6.71,152.00,70.70,55.04,30.02,70.88,36.14,2.00,3.00,3.00,97.52,94.28,,,60.44,22.00,,,
