date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,
2016/04/14 19:00:00,63.00,8.95,8.28,60.00,8.95,63.00,14.09,99.00,70.52,58.46,48.38,71.06,43.16,2.00,3.00,3.00,102.38,97.70,,,59.54,2016/04/11 15:13:04,2016/04/11 15:15:16,45.00,
2016/04/14 19:10:00,121.00,8.50,7.83,75.00,8.50,121.00,11.63,37.00,71.78,59.36,49.10,71.78,43.16,2.00,3.00,3.00,103.82,98.96,,,59.72,2016/04/11 15:13:04,2016/04/11 15:15:16,44.00,
2016/04/14 19:20:00,43.00,10.74,6.49,60.00,10.74,43.00,11.63,78.00,71.60,59.18,48.74,71.96,43.16,2.00,3.00,3.00,104.00,98.42,,,60.08,2016/04/11 15:13:04,2016/04/11 15:15:16,44.00,
2016/04/14 19:30:00,52.00,5.82,5.14,55.00,5.82,52.00,10.74,93.00,71.42,59.00,48.56,71.96,43.16,2.00,3.00,3.00,102.02,97.16,,,60.26,2016/04/11 15:13:04,2016/04/11 15:15:16,44.00,
2016/04/14 19:40:00,90.00,7.83,6.71,45.00,7.83,74.00,12.97,73.00,71.42,59.18,48.92,71.96,43.16,2.00,3.00,3.00,102.38,97.52,,,60.26,2016/04/11 15:13:04,2016/04/11 15:15:16,44.00,
2016/04/14 19:50:00,73.00,8.50,9.17,50.00,8.50,73.00,13.65,81.00,72.14,59.72,49.82,72.50,43.16,2.00,3.00,3.00,102.02,97.16,,,60.80,2016/04/11 15:13:04,2016/04/11 15:15:16,45.00,
2016/04/14 20:00:00,37.00,7.83,4.92,40.00,7.83,37.00,11.86,67.00,71.78,59.36,49.28,72.50,43.16,2.00,3.00,3.00,101.12,96.80,,,60.80,2016/04/11 15:13:04,2016/04/11 15:15:16,45.00,
2016/04/14 20:10:00,73.00,9.17,8.95,75.00,9.17,73.00,12.08,91.00,72.86,60.26,50.36,72.86,43.16,2.00,3.00,3.00,102.92,97.16,,,61.16,2016/04/11 15:13:04,2016/04/11 15:15:16,45.00,
2016/04/14 20:20:00,105.00,9.62,10.29,85.00,9.62,105.00,13.42,93.00,73.22,60.44,50.36,73.22,43.16,2.00,3.00,3.00,101.48,96.44,,,61.52,2016/04/11 15:13:04,2016/04/11 15:15:16,44.00,
2016/04/14 20:30:00,73.00,9.17,6.49,75.00,9.17,73.00,12.30,99.00,73.94,60.80,50.36,74.48,43.16,2.00,3.00,3.00,101.84,96.26,,,61.52,2016/04/11 15:13:04,2016/04/11 15:15:16,43.00,
